V1,art_id,lang,nb_songs,dz_name,mbz_artist_id,sc_artist_id
25617,5542343,en,1,Ninho,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1,4847604
25619,8909272,en,1,Aya Nakamura,cf580d82-3f3e-4b86-8874-7e0fbe794f01,4843823
26734,12526056,sw,1,Tayc,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb,5125715
26843,4429712,es,1,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
27632,259729,en,1,Alonzo,9ff87295-bdfc-46fc-b605-456cc39d84ca,627192
28252,4050205,tr,1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
29294,542,pt,1,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
29743,259729,es,1,Alonzo,9ff87295-bdfc-46fc-b605-456cc39d84ca,627192
31524,75491,id,1,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,522177
32167,259729,sw,1,Alonzo,9ff87295-bdfc-46fc-b605-456cc39d84ca,627192
32473,74463,en,1,Timal,b0dfa8b9-cd40-43eb-9472-c02cb1db3297,3964938
32634,1042268,en,1,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
32679,13011,en,1,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
32744,4429712,it,1,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
32988,390,it,1,Booba,785c0e9c-89f6-4bf4-8296-443a46632d62,522394
33871,4429712,en,2,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
34719,1191615,it,2,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a,2265158
34734,13962203,en,2,Zola,3134d99c-a372-424a-9f65-d2dacfdccaba,1345896
34935,75491,af,2,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,522177
35084,3469,fr,2,Sia,2f548675-008d-4332-876c-108b0c7ab9c5,567274
35523,1191615,es,2,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a,2265158
36997,390,en,2,Booba,785c0e9c-89f6-4bf4-8296-443a46632d62,522394
