"";"hashed_id";"profession_declaree";"profession_recode"
"1";10371;"Aerooort";NA
"2";3525;"maintenance";NA
"3";3405;"Responsable des achats du commerce";"Responsable des achats du commerce"
"4";4149;"Bts tourisme en alternance option hôtellerie de plein air";NA
"5";8077;"Apprenti couvreur";"Apprenti couvreur"
"6";4264;"Cadre technique de fabrication industrielle";"Cadre technique de fabrication industrielle"
"7";3069;"Agent de fabrication en matériaux composites";"Agent de fabrication en matériaux composites"
"8";3448;"Étudiante en thèse de biologie";"Doctorant contractuel"
"9";9935;"Plâtrier-plaquiste";"Plâtrier-plaquiste"
"10";6504;"Développeur full-stack";"Développeur full-stack"
"11";908;"Paysagiste";"Paysagiste"
"12";9124;"Laborantin de l'industrie";"Laborantin de l'industrie"
"13";9991;"Hôtesse de caisse";"Hôtesse de caisse"
"14";9013;"Brigadier-chef de police nationale";"Brigadier-chef de la police nationale"
"15";3348;"Employé administratif (gestion)";"Employé administratif (gestion)"
"16";16;"Enseignant (professeur des écoles)";"Enseignant (professeur des écoles)"
"17";10168;"Agent administratif des assurances";"Agent administratif des assurances"
"18";5414;"Agent de production de l'industrie du bois";"Agent de production de l'industrie du bois"
"19";7599;"Traminot";"Conducteur de tramway"
"20";2263;"Infirmière";"Infirmière"
"21";4703;"Clerc de notaire";"Clerc de notaire"
"22";2400;"Commerçante en habillement, lingerie, textile";"Commerçante en habillement, lingerie, textile"
"23";6656;"Agent d’accueil";"Hôte d'accueil"
"24";482;"Charge de Communication";"Chargée de communication"
"25";8026;"Expert en coopération internationale";"Consultant conseil aux entreprises"
"26";49;"Cadre technique des assurances";"Cadre technique des assurances"
"27";9429;"Employé relation client";"Assistant clientèle"
"28";8829;"Conducteur de train";"Conducteur de train"
"29";6938;"Assistante des ventes";"Assistante des ventes"
"30";1981;"Évaluateur en parfumerie";"Parfumeur-créateur"
"31";1467;"Azerty";NA
"32";1289;"Développeur foncier";"Développeur foncier"
"33";6738;"Directeur de projet informatique";"Directeur de projet informatique"
"34";1782;"Coordinateur administratif";"Cadre administratif d'entreprise"
"35";472;"Chef de cuisine";"Chef de cuisine"
"36";3532;"Pâtissier";"Pâtissier"
"37";9192;"Enseignante";"Enseignant certifié en collège"
"38";6040;"Cariste docker";"Cariste docker"
"39";9802;"Infirmière à domicile";"Infirmière à domicile"
"40";7587;"Blanchisseuse";"Blanchisseuse"
"41";8061;"Ouvrière de l'industrie de la maroquinerie";"Ouvrière de l'industrie de la maroquinerie"
"42";17;"Chef d’entreprise";"Chef d'entreprise de l'industrie"
"43";4639;"Coordinateur QHSE";"Inspecteur hygiène et sécurité"
"44";9906;"Agent de maîtrise d'exploitation agricole";"Agent de maîtrise d'exploitation agricole"
"45";4034;"Juriste";"Juriste"
"46";7621;"Responsable achats de l'industrie";"Responsable achats de l'industrie"
"47";439;"Operateur";"Ouvrier d'assemblage mécanique"
"48";7053;"Conseillère formation individu";"Conseillère en formation"
"49";4943;"Esthéticienne";"Esthéticienne"
"50";1690;"Responsable achats et approvisionnements de l'industrie";"Responsable achats et approvisionnements de l'industrie"
"51";8571;"Gendarme adjointe volontaire";"Gendarme adjointe volontaire"
"52";3425;"Architecte d’intérieur";"Architecte d'intérieur"
"53";3841;"Assistante commerciale et administrative";"Assistante commerciale et administrative"
"54";3006;"Apprentie comptable";"Aide comptable"
"55";3893;"Fonctionnaire";NA
"56";8070;"Chef d’entreprise";"Chef d'entreprise de l'industrie"
"57";4874;"Technicien de méthodes";"Technicien de méthodes"
"58";1277;"Chef d entreprise";"Chef d'entreprise de l'industrie"
"59";479;"Clerc de notaire";"Clerc de notaire"
"60";4681;"Apprenti mécanicien automobile";"Apprenti mécanicien automobile"
"61";80;"Technicien intermittent du spectacle";"Technicien du spectacle"
"62";6033;"Vendeuse en station service";"Vendeuse de station service"
"63";10251;"Assistante d’éducation";"Assistante d'éducation (AED)"
"64";10299;"Chef de projet maîtrise d'ouvrage des systèmes d'informations (MOA)";"Chef de projet maîtrise d'ouvrage des systèmes d'informations (MOA)"
"65";5526;"Aide à domicile";"Aide à domicile"
"66";6201;"Directeur des ventes";"Directeur des ventes"
"67";7530;"Directrice de clientèle (50 salariés ou plus)";"Directrice de clientèle (50 salariés ou plus)"
"68";5778;"Étudiant";NA
"69";6360;"Juriste";"Juriste"
"70";10404;"Cadre administrative des collectivités territoriales";"Cadre administrative des collectivités territoriales"
"71";1423;"Architecture";"Architecte DPLG"
"72";10162;"Intérimaire";NA
"73";1873;"Agent polyvalent administratif et commercial";"Agent polyvalent administratif et commercial"
"74";4016;"Vendeuse en bricolage";"Vendeuse en bricolage"
"75";2950;"Attaché technico-commercial (vente de biens aux entreprises)";"Attaché technico-commercial (vente de biens aux entreprises)"
"76";9620;"Ingénieur développement logiciel";"Ingénieur développement logiciel"
"77";5587;"Chef gérant en restauration";"Gérant de restaurant"
"78";6615;"Conseillère de vente";"Conseillère clientèle du commerce"
"79";7683;"Directeur Ecommerce";"Directeur commercial"
"80";4809;"Chef de projet marketing";"Chef de projet marketing"
"81";5971;"Plombier chauffagiste frigoriste";"Plombier chauffagiste"
"82";9063;"conseillère de vente";"Conseillère clientèle du commerce"
"83";1844;"Expert paie";"Gestionnaire de paie"
"84";4222;"Employée de banque";"Employée de banque"
"85";7145;"Responsable librairie";"Libraire"
"86";9642;"Artiste créatrice de haute couture";"Artiste créatrice de haute couture"
"87";9718;"Agent administratif des finances publiques";"Agent administratif de l'État"
"88";5512;"Agent commercial sncf";"Assistant commercial"
"89";3077;"Animatrice pour enfants";"Animatrice pour enfants"
"90";6614;"Gestionnaire de patrimoine immobilier";"Gestionnaire de patrimoine immobilier"
"91";9650;"Nounou";"Nounou"
"92";7490;"Cadre commercial de banque";"Cadre commercial de banque"
"93";2402;"Coiffeuse à domicile";"Coiffeuse à domicile"
"94";6889;"Maroquinier";"Maroquinier"
"95";7139;"Business manager (50 salariés ou plus)";"Business manager (50 salariés ou plus)"
"96";4744;"Auxiliaire de crèche";"Auxiliaire de puériculture en crèche"
"97";8444;"Gestionnaire sinistre";"Gestionnaire sinistre"
"98";1564;"Responsable logistique";"Responsable logistique"
"99";2288;"Maraquage de sol";"Cimentier-applicateur"
"100";2464;"Aide soignante";"Aide-soignante"
"101";9936;"Agent de production en mécanique";"Agent de production en mécanique"
"102";1066;"Agent immobilier (négociateur)";"Agent immobilier (négociateur)"
"103";8823;"Gérant de société";"Gérant de société de transport"
"104";7624;"Nîmes Tourisme";NA
"105";3052;"Chef de réception de l'hôtellerie";"Chef de réception de l'hôtellerie"
"106";615;"Cadre administratif de l'hôtellerie restauration";"Cadre administratif de l'hôtellerie restauration"
"107";3646;"Gérant de commerce de biens intermédiaires";"Gérant de commerce de biens intermédiaires"
"108";3395;"Responsable d'exploitation des transports";"Responsable d'exploitation des transports"
"109";2615;"Aide conducteur de travaux";"Aide conducteur de travaux"
"110";6745;"Audit financier";"Auditeur financier"
"111";4983;"Appui manager en alternance";NA
"112";2455;"Graphiste";"Graphiste"
"113";9847;"cuisine";"Cuisinier"
"114";1970;"Chargée de développement local";"Chargée du développement touristique"
"115";3141;"Second de cuisine";"Second de cuisine"
"116";8726;"Gestionnaire d'assurance";"Gestionnaire d'assurance"
"117";6737;"Technicien électronicien d'installation";"Technicien électronicien d'installation"
"118";5555;"Consultant en réseaux informatiques";"Consultant en réseaux informatiques"
"119";3803;"Représentant du service client et spécialiste en logistique";"Agent logistique"
"120";10054;"Consultant en ressources humaines";"Consultant en ressources humaines (RH)"
"121";261;"Artisan Flockeur";"Artisan en confection"
"122";5456;"Banquier";"Agente commerciale de banque"
"123";8617;"Professeure certifiée en collège";"Professeure certifiée en collège"
"124";4058;"Gestionnaire des ressources humaines de l'État";"Gestionnaire des ressources humaines (RH) de l'État"
"125";9945;"Chauffeur de bus, de car";"Chauffeur de bus, de car"
"126";5047;"Carreleur mosaïste";"Carreleur mosaïste"
"127";4603;"Responsable qualité sécurité environnement (QSE)";"Responsable qualité sécurité environnement (QSE)"
"128";5694;"Chirurgien dentiste";"Chirurgien dentiste"
"129";4355;"Consultant associé conseil aux entreprises";"Consultant associé conseil aux entreprises"
"130";6659;"DJ / Animateur de soirées";"Disc jockey (DJ)"
"131";6103;"Chef de projet publicitaire";"Chef de projet publicitaire"
"132";9459;"Chauffeur de collecte";"Éboueur"
"133";3723;"Viticulteur";"Viticulteur"
"134";6586;"Responsable commercial";"Responsable commercial"
"135";7932;"Office manager";"Office manager"
"136";8936;"Serveuse de restaurant";"Serveuse de restaurant"
"137";814;"Électrotechnicien de production";"Électrotechnicien de production"
"138";3813;"Chaudronnier soudeur tuyauteur";"Chaudronnier soudeur tuyauteur"
"139";1254;"Opérateur nucléaire";"Technicien nucléaire"
"140";691;"Manœuvre du bâtiment";"Manœuvre du bâtiment"
"141";3812;"Banque";"Agente commerciale de banque"
"142";1056;"Employée administrative (accueil)";"Employée administrative (accueil)"
"143";4343;"Management de l’Innovation et Entrepreneuriat";"Consultant conseil aux entreprises"
"144";932;"Médecin hospitalier (praticien hospitalier)";"Médecin hospitalier (praticien hospitalier)"
"145";6151;"Cordiste du BTP";"Cordiste du BTP"
"146";2293;"Entrepreneuse du bâtiment (tous corps d'état)";"Entrepreneuse du bâtiment (tous corps d'état)"
"147";6483;"Assistant ingénieur";NA
"148";2374;"Orthophoniste";"Orthophoniste"
"149";6212;"Chimiste recherche et développement (R&D)";"Chimiste recherche et développement (R&D)"
"150";5276;"Cadre commerciale";"Cadre commerciale"
"151";2236;"Security architect";"Administrateur de système d'information"
"152";5928;"Infirmier libéral";"Infirmier"
"153";4784;"Assistante relation partenaires";"Assistant administratif d'entreprise"
"154";7347;"Infirmiere";"Infirmier"
"155";5820;"Restaurateur";"Restaurateur (café, restaurant, etc.)"
"156";3559;"Assistante administrative d'entreprise";"Assistante administrative d'entreprise"
"157";5110;"Responsable commercial du BTP";"Responsable commercial du BTP"
"158";9294;"Psy";"Psychologue"
"159";6923;"Laborantine de l'industrie";"Laborantine de l'industrie"
"160";8707;"Cadre dirigeant d'entreprise de l'immobilier";"Cadre dirigeant d'entreprise de l'immobilier"
"161";6460;"Cadre";NA
"162";8696;"Assistante de direction d'entreprise";"Assistante de direction d'entreprise"
"163";4540;"Category manager (catman)";"Category manager (catman)"
"164";7977;"Directeur de centre de profits";"Directeur de centre de profits"
"165";315;"Infirmière";"Infirmière"
"166";1792;"Consultant Financier";"Consultant financier"
"167";344;"Préparatrice-vendeuse en restauration rapide";"Préparatrice-vendeuse en restauration rapide"
"168";685;"Web Designer";"Web designer"
"169";6682;"Serveuse dans un bar";"Serveuse de café, bar, hôtel"
"170";5495;"Ingénieur en sécurité informatique";"Ingénieur de sécurité informatique"
"171";2065;"Réparateur frigoriste";"Réparateur frigoriste"
"172";6442;"Business manager";"Business manager"
"173";4835;"Entrepreneur du bâtiment (tous corps d'état)";"Entrepreneur du bâtiment (tous corps d'état)"
"174";9402;"Responsable qualité";"Responsable qualité"
"175";1202;"Chauffeur de bus, de car";"Chauffeur de bus, de car"
"176";8372;"Préparatrice-vendeuse en restauration rapide";"Préparatrice-vendeuse en restauration rapide"
"177";2501;"Manager";"Business manager"
"178";8230;"Commissaire des armées";"Commissaire des armées"
"179";2798;"Social média manager";"Social media manager"
"180";7796;"Web analyste";"Web analyste"
"181";10171;"Agent commercial en fournitures industrielles";"Agent commercial en fournitures industrielles"
"182";8194;"Employée de banque";"Employée de banque"
"183";406;"Fonctionnaire";NA
"184";9178;"Chef d’entreprise";"Chef d'entreprise de l'industrie"
"185";3200;"Agent immobilier (négociatrice)";"Agent immobilier (négociateur)"
"186";5774;"Tuyauteur industrielle";"Tuyauteur de l'industrie des métaux"
"187";6530;"Journaliste sportif";"Journaliste sportif"
"188";46;"Responsable commercial";"Responsable commercial"
"189";4342;"Employée de commerce";"Employée polyvalente du commerce"
"190";9527;"Chargée de recrutement";"Chargée de recrutement"
"191";1574;"job d’été";NA
"192";8751;"Conducteur de train";"Conducteur de train"
"193";7330;"Directeur de recherche publique (chercheur)";"Directeur de recherche publique (chercheur)"
"194";4495;"Conducteur de ligne de fabrication";"Conducteur de ligne de fabrication"
"195";2025;"Menuisier poseur";"Menuisier poseur"
"196";10330;"Gérant mandataire de commerce";"Gérant mandataire de commerce"
"197";63;"Assurreur";"Assureur"
"198";99;"Gestionnaire comptable";"Gestionnaire comptable"
"199";1238;"Cadre dirigeant d'entreprise du commerce";"Cadre dirigeant d'entreprise du commerce"
"200";4934;"Cuisinier";"Cuisinier"
"201";5825;"Ingénieur du bâtiment";"Ingénieur de chantier du bâtiment"
"202";4571;"Directrice galerie";"Directrice de magasin"
"203";8252;"RH";"Assistante ressources humaines (RH)"
"204";4457;"Journaliste";"Journaliste"
"205";6573;"Gestionnaire comptable";"Gestionnaire comptable"
"206";7090;"Chef de service maintenance industrielle";"Chef de service maintenance industrielle"
"207";554;"Formatrice en entreprise";"Formatrice"
"208";6305;"Vendeuse en habillement";"Vendeuse en habillement"
"209";703;"Chimiste";"Chimiste"
"210";6079;"Serveur de restaurant";"Serveur de restaurant"
"211";3150;"Cadre commercial";"Cadre commercial"
"212";3025;"Assistante de direction d'entreprise";"Assistante de direction d'entreprise"
"213";6258;"Agriculteur céréalier";"Agriculteur céréalier"
"214";1016;"Graphiste";"Graphiste"
"215";7344;"Comptable d'entreprise";"Comptable d'entreprise"
"216";7943;"Enploye libre service";"Employée de libre service (ELS)"
"217";1650;"Artiste musicien";"Artiste musicien"
"218";2337;"Assistant d’éducation";"Assistant d'éducation (AED)"
"219";52;"Directeur de projets";"Directeur de projet technique ou industriel"
"220";265;"Responsable achats et approvisionnements de l'industrie";"Responsable achats et approvisionnements de l'industrie"
"221";8304;"Monteur de charpente métallique";"Monteur de charpente métallique"
"222";747;"Cadre commercial de l'industrie";"Cadre commercial de l'industrie"
"223";3949;"Chargée de communication";"Chargée de communication"
"224";5;"Avocat collaborateur";"Avocat collaborateur"
"225";2771;"Technicien en prothèse dentaire";"Technicien en prothèse dentaire"
"226";687;"Vendeur de jeux et jouets";"Vendeur de jeux et jouets"
"227";647;"Assistante commerciale export";"Assistante commerciale export"
"228";7849;"Conseillère beauté";"Vendeur en produits de beauté"
"229";3707;"Analyste financière de banque";"Analyste financière de banque"
"230";9792;"Directrice commerciale (50 salariés ou plus)";"Directrice commerciale (50 salariés ou plus)"
"231";8596;"Directeur commercial";"Directeur commercial"
"232";3716;"Assistante ressources humaines";"Assistante ressources humaines (RH)"
"233";7411;"Agent de cinéma";"Agent de cinéma"
"234";9985;"Serveur de café, bar, hôtel";"Serveur de café, bar, hôtel"
"235";1427;"Employé polyvalent de restaurant";"Employé polyvalent de restaurant"
"236";1041;"Chauffeur de bus, de car";"Chauffeur de bus, de car"
"237";9497;"Enseignant agrégé dans le supérieur (université, école)";"Enseignant agrégé dans le supérieur (université, école)"
"238";4833;"Infirmière d'entreprise";"Infirmière d'entreprise"
"239";9140;"Chargé d’affaires";"Chargé d'affaires de l'industrie"
"240";5218;"Charpentier couvreur";"Charpentier couvreur"
"241";151;"Opératrice de saisie";"Opératrice de saisie"
"242";5087;"Directrice opérationnelle et commerciale";"Directrice commerciale"
"243";7378;"Directeur d’agence";"Directeur d'agence bancaire"
"244";7315;"Développeur full-stack";"Développeur full-stack"
"245";8719;"Service civique";NA
"246";3201;"Secretaire";"Secrétaire"
"247";8299;"Fonctionnaire";NA
"248";7395;"Cadre commercial";"Cadre commercial"
"249";4062;"Pharmacienne de l'industrie pharmaceutique";"Pharmacienne de l'industrie pharmaceutique"
"250";4166;"AESH";"Accompagnante des élèves en situation de handicap (AESH)"
"251";6357;"Secretaire RH";"Secrétaire"
"252";10204;"Employée de libre service (ELS)";"Employée de libre service (ELS)"
"253";1260;"Cadre commerciale";"Cadre commerciale"
"254";2017;"Analyste opinion publique";"Analyste d'audience"
"255";2590;"Juriste d'affaires";"Juriste d'affaires"
"256";681;"Assistante administrons des ventes";"Assistante administration des ventes (adv)"
"257";9946;"Boulanger";"Boulanger"
"258";4992;"Secretaire";"Secrétaire"
"259";1328;"Architecte DPLG";"Architecte DPLG"
"260";4852;"Cadre";NA
"261";8622;"Responsable recherche et développement (R&D) de l'industrie";"Responsable recherche et développement (R&D) de l'industrie"
"262";4968;"Chef de projet marketing";"Chef de projet marketing"
"263";1927;"Vendeur en épicerie (fine)";"Vendeur en épicerie (fine)"
"264";9252;"Buraliste cafetier";"Buraliste cafetier"
"265";2032;"Contrôleur de gestion";"Contrôleur de gestion"
"266";7819;"Technicienne administrative des collectivités territoriales";"Technicienne administrative des collectivités territoriales"
"267";400;"Étudiante";NA
"268";3998;"Pâtissier";"Pâtissier"
"269";10135;"Responsable Artistique";"Directrice artistique"
"270";9837;"Auditrice externe";"Auditrice externe"
"271";5910;"Ingénieur informatique";"Ingénieur développement informatique"
"272";3379;"Architecte maître d'œuvre";"Architecte maître d'œuvre"
"273";5042;"Concepteur vendeur";"Concepteur de sites internet"
"274";5240;"Pharmacien d'officine";"Pharmacien d'officine"
"275";5221;"Adjointe administrative (comptabilité)";"Adjointe administrative (comptabilité)"
"276";2716;"Responsable Régional";"Directrice régionale"
"277";9853;"Orthophoniste";"Orthophoniste"
"278";8858;"Contrôleur financier";"Contrôleur financier"
"279";6128;"Auxiliaire de puériculture en crèche";"Auxiliaire de puériculture en crèche"
"280";5704;"Chef de chantier BTP";"Chef de chantier BTP"
"281";9502;"Inspecteur des impôts";"Inspecteur des finances publiques"
"282";1360;"Bibliothécaire";"Bibliothécaire"
"283";2667;"Controleur";"Contrôleur des transports"
"284";8150;"Chirurgien dentiste";"Chirurgien dentiste"
"285";8182;"Adjoint d'animation pour enfants";"Adjoint d'animation pour enfants"
"286";4652;"Assistante administrative";"Assistante administrative d'entreprise"
"287";639;"Armee de terre";NA
"288";7339;"Médecin hospitalier (praticien hospitalier)";"Médecin hospitalier (praticien hospitalier)"
"289";7600;"Cuisinier de collectivité";"Cuisinier de collectivité"
"290";2758;"it owner";NA
"291";4866;"Juriste sociale";"Juriste sociale"
"292";4127;"Gestionnaire de paie";"Gestionnaire de paie"
"293";6784;"Kinésithérapeute ostéopathe";"Kinésithérapeute ostéopathe"
"294";5976;"Graphiste";"Graphiste"
"295";6984;"Coordinatrice logistique";"Coordinatrice logistique"
"296";4368;"Chef d'entreprise de la restauration";"Chef d'entreprise de la restauration"
"297";8563;"Dessinateur BTP";"Dessinateur BTP"
"298";5759;"Entrepreneur";NA
"299";877;"Contrôleur qualité de l'industrie";"Contrôleur qualité de l'industrie"
"300";3108;"Chef d équipe";"Chef d'équipe BTP"
"301";82;"Chargée d’écoute";NA
"302";5091;"Formatrice pour adulte";"Formatrice pour adulte"
"303";114;"Podologue";"Pédicure-podologue"
"304";3926;"Chargée d'affaires bancaires";"Chargée d'affaires bancaires"
"305";8333;"Technicien méthodes";"Technicien de méthodes"
"306";9987;"Asistante ADV";"Assistante administration des ventes (adv)"
"307";629;"Agent de voyages";"Agent de voyages"
"308";3897;"Chargee RH";"Assistant ressources humaines (RH)"
"309";10129;"Chargé de communication";"Chargé de communication"
"310";9995;"Zootechnicien";"Technicien agricole"
"311";5244;"Vendeuse couturière";"Couturière"
"312";1621;"Gestionnaire approvisionneur de l'industrie";"Gestionnaire approvisionneur de l'industrie"
"313";4799;"Animateur pour enfants";"Animateur pour enfants"
"314";7360;"Responsable commerciale";"Responsable commerciale"
"315";10049;"Coach en ressources humaines";"Coach en ressources humaines (RH)"
"316";3437;"Consultant communication";"Consultant en communication"
"317";10199;"Ingénieur d'exploitation informatique";"Ingénieur d'exploitation informatique"
"318";6965;"Essayeur metteur au point";"Essayeur metteur au point"
"319";3009;"Chef d’entreprise";"Chef d'entreprise de l'industrie"
"320";891;"Enseignante (professeure des écoles)";"Enseignante (professeure des écoles)"
"321";142;"Réceptionniste d'hôtel";"Réceptionniste d'hôtel"
"322";6819;"Monteur réseaux";"Monteur réseaux"
"323";5301;"Cadre comptable";"Cadre comptable"
"324";6796;"Directeur relation client";"Directeur des relations publiques ou extérieures"
"325";2996;"Enseignement universitaire";"Enseignant chercheur (maître de conférence)"
"326";9524;"Architecte maître d'œuvre";"Architecte maître d'œuvre"
"327";3013;"Expert judiciaire";"Expert foncier"
"328";9881;"Magasinier (logistique)";"Magasinier (logistique)"
"329";8212;"Analyste financière";"Analyste financière"
"330";6031;"Agent logistique";"Agent logistique"
"331";9673;"Office manager";"Office manager"
"332";9159;"Chargé de recherche publique (chercheur)";"Chargé de recherche publique (chercheur)"
"333";7573;"Agent de mairie";"Agent de voiries"
"334";9731;"Cadre d'exploitation des transports";"Cadre d'exploitation des transports"
"335";1078;"Office manager";"Office manager"
"336";2348;"Technicien méthodes";"Technicien de méthodes"
"337";6449;"Délégue General d’une association";"Directeur d'association socio-culturelle"
"338";8664;"Directeur";NA
"339";8238;"Responsable des ressources humaines d'entreprise";"Responsable des ressources humaines (RH) d'entreprise"
"340";1886;"Délégué Médical";"Délégué médical"
"341";7125;"Assistant de service social";"Assistant de service social"
"342";7199;"Ouvrir qualifié";"Avitailleur"
"343";4565;"Aide soignante";"Aide-soignante"
"344";7576;"Chef de projet microbiologie";"Chef de projet de recherche clinique"
"345";2539;"Serveur de restaurant";"Serveur de restaurant"
"346";4125;"Doctorant contractuel";"Doctorant contractuel"
"347";654;"Journaliste territorial";"Journaliste territorial"
"348";1848;"Diététicienne nutritionniste";"Diététicienne nutritionniste"
"349";8288;"Cadre Dirigeant";"Cadre dirigeant d'entreprise de services"
"350";5625;"Responsable technique adjoint";"Responsable technique dans le transport"
"351";9513;"Chauffeur routier";"Chauffeur routier"
"352";4969;"Rrh de proximité";"Responsable des ressources humaines (RH) d'entreprise"
"353";2504;"Conductrice de ligne de conditionnement";"Conductrice de ligne de conditionnement"
"354";1701;"Pâtissière chocolatière";"Pâtissière chocolatière"
"355";7079;"Assistante des bibliothèques";"Assistante des bibliothèques"
"356";3578;"Assistante secrétariat accueil";"Secrétaire assistante"
"357";8785;"Responsable communication";"Responsable communication"
"358";7224;"Assistante de direction d'entreprise";"Assistante de direction d'entreprise"
"359";3439;"Juriste d'affaires";"Juriste d'affaires"
"360";4919;"Analyste économique";"Analyste économique"
"361";6380;"Ingénieur d'études et de fabrication de la défense";"Ingénieur d'études et de fabrication de la défense"
"362";3145;"Agent de production";"Agent de production en mécanique"
"363";1954;"Technico-commercial";"Technico-commercial en matériels de bureau"
"364";391;"Streamer createur de contenu video";"Influenceur web"
"365";7802;"Assistant de direction de l'État";"Assistant de direction de l'État"
"366";8276;"Docteur en pharmacie";"Pharmacien"
"367";1793;"Medecin";"Médecin généraliste"
"368";1354;"Chargée de mission usage numérique";"Chargée de mission développement économique"
"369";1364;"Chef entreprise";"Chef d'entreprise de l'industrie"
"370";3489;"Cadre de l'assurance maladie";"Cadre de l'assurance maladie"
"371";8181;"Ingénieur gestion de configuration";"Développeur back-end"
"372";4453;"Ingénieur de recherche publique";"Ingénieur de recherche publique"
"373";4758;"Courtier de prêts immobiliers";"Courtier de prêts immobiliers"
"374";9674;"Archiviste";"Archiviste"
"375";8796;"Conducteur routier";"Conducteur routier"
"376";10088;"Aide à domicile";"Aide à domicile"
"377";6521;"Ingénieur service client";"Responsable service clientèle bancaire"
"378";6204;"Contrôleur de gestion";"Contrôleur de gestion"
"379";9692;"Conseil et création en communication";"Conseiller en communication"
"380";8273;"Jardinier municipal";"Jardinier municipal"
"381";6453;"Ingénieur d'application informatique";"Ingénieur d'application informatique"
"382";7940;"Déléguée pharmaceutique";"Visiteur médical"
"383";512;"Agent administratif transport";"Agent de maîtrise administrative du transport"
"384";5248;"Data analyst";"Data analyst"
"385";5031;"Responsable Export";"Responsable de zone export"
"386";2691;"Chauffeur poids lourds (PL)";"Chauffeur poids lourds (PL)"
"387";3396;"directeur analyse risques sûreté";"Directeur de la sécurité informatique"
"388";1630;"Chef de projet socio-éducatif";"Chef de projet socio-éducatif"
"389";2619;"Enseignant chercheur (maître de conférence)";"Enseignant chercheur (maître de conférence)"
"390";7685;"Responsable d'exploitation";"Responsable d'exploitation industrielle"
"391";4076;"Chef de projet informatique";"Chef de projet informatique"
"392";5939;"Directrice de site de production (50 salariés ou plus)";"Directrice de site de production (50 salariés ou plus)"
"393";1227;"Conseil général";"Conseiller départemental ou régional"
"394";907;"Cadre administratif de l'État";"Cadre administratif de l'État"
"395";634;"Ass";NA
"396";1979;"Chargé de mission mobilité";"Chargé de mission développement territorial"
"397";7532;"Chef de produit informatique";"Chef de produit informatique"
"398";8980;"Expert Pest Control";"Cheffe d'équipe de nettoyage"
"399";6706;"Réceptionniste d'hôtel";"Réceptionniste d'hôtel"
"400";1992;"Responsable magasin";"Responsable de magasin du commerce"
"401";325;"Pâtissier";"Pâtissier"
"402";7533;"Chargé de Ressources Humaines";"Chargé d'études en ressources humaines (RH)"
"403";611;"Professeur d'activités physiques adaptées";"Professeur d'activités physiques adaptées"
"404";952;"Ingénieur d’exploitation";"Ingénieur d'exploitation industrielle"
"405";9428;"Développeur full-stack";"Développeur full-stack"
"406";1884;"Chargée d'affaires (vente de services aux entreprises)";"Chargée d'affaires (vente de services aux entreprises)"
"407";7270;"Directeur artistique";"Directeur artistique"
"408";2617;"Agent de nettoyage de bureaux ou de locaux";"Agent de nettoyage de bureaux ou de locaux"
"409";5897;"Pizzaiolo";"Pizzaiolo"
"410";2637;"Responsable administrative d'entreprise";"Responsable administrative d'entreprise"
"411";10326;"Consultant conseil aux entreprises";"Consultant conseil aux entreprises"
"412";8353;"Artiste infographiste";"Artiste infographiste"
"413";1628;"Cadre comptable";"Cadre comptable"
"414";6747;"Ingénieur recherche et développement (R&D) de l'énergie";"Ingénieur recherche et développement (R&D) de l'énergie"
"415";9477;"Rédacteur en chef";"Rédacteur en chef"
"416";8711;"Psychiatre";"Psychiatre"
"417";1761;"Maraicher";"Maraîcher"
"418";6605;"Opticienne";"Opticienne"
"419";10078;"Paysagiste";"Paysagiste"
"420";1284;"Chauffeur SPL";"Chauffeur poids lourds (PL)"
"421";7974;"Chargé de gestion des risques";"Responsable gestion du risque (sécurité sociale)"
"422";3862;"Technicien intermittent du spectacle";"Technicien du spectacle"
"423";7748;"Géomètre du BTP";"Géomètre du BTP"
"424";9811;"Employé administratif dans la logistique";"Employé administratif dans la logistique"
"425";9347;"Manager McDonald's";"Gérant de café"
"426";3375;"Intérimaire";NA
"427";4261;"Conseiller commercial en automobiles";"Conseiller commercial en automobiles"
"428";5210;"Pompier aeroport";"Pompier"
"429";4344;"Cadre financier";"Cadre financier"
"430";7412;"Boulanger pâtissier";"Boulanger pâtissier"
"431";5985;"responsable rh";"Gestionnaire des ressources humaines (RH) d'entreprise"
"432";5988;"Conseillère pédagogique";"Conseillère pédagogique du 1er degré"
"433";6475;"Formaliste";"Clerc de notaire"
"434";876;"Développeuse full-stack";"Développeuse full-stack"
"435";3826;"Commerciale auprès de particuliers";"Commerciale auprès de particuliers"
"436";8794;"Agent de sécurité";"Agent de sécurité"
"437";2429;"Indépendant";NA
"438";2454;"Orthophoniste";"Orthophoniste"
"439";3179;"Chauffeur poids lourds (PL)";"Chauffeur poids lourds (PL)"
"440";663;"Responsable événementiel";"Chef de projet événementiel"
"441";614;"Chef de projets";"Chef de projet d'affaires"
"442";10278;"Chef de bord ferroviaire";"Chef de bord ferroviaire"
"443";8105;"Cadre financier";"Cadre financier"
"444";4176;"Bijouterie";"Bijoutier"
"445";689;"Promoteur des ventes";"Promoteur des ventes"
"446";3363;"Digital manager";"Digital manager"
"447";10174;"Electricien";"Électricien du bâtiment"
"448";6022;"alternante";NA
"449";9976;"Infirmier en psychiatrie";"Infirmier en psychiatrie"
"450";7348;"DIRECTEUR RESSOURCES HUMAINES";"Directeur des ressources humaines (DRH) d'entreprise"
