"";"hashed_id";"profession_declaree";"profession_recode"
"1971";4512;"cadre bancaire";"Cadre commerciale de banque"
"1972";9209;"Guitariste";"Musicien"
"1973";411;"Expert environnement";"Ingénieur environnement (protection de l'environnement)"
"1974";9904;"Gerante";"Gérant d'une société d'import/export"
"1975";1212;"Technicienne d'assistance en informatique";"Technicienne d'assistance en informatique"
"1976";1789;"Gardien d'immeuble";"Gardien d'immeuble"
"1977";9434;"Employé de libre service (ELS)";"Employé de libre service (ELS)"
"1978";4377;"Fonctionnaire territoriale";NA
"1979";9131;"Routier";"Routier"
"1980";7507;"Responsable de laboratoire de recherche industrielle";"Responsable de laboratoire de recherche industrielle"
"1981";8149;"Directeur de crèche";"Directeur de crèche"
"1982";1307;"Responsable Grands comptes";"Responsable commerciale grands comptes"
"1983";7416;"Chef de produit marketing";"Chef de produit marketing"
"1984";597;"masseur-kinesithérapeute";"Masseur kinésithérapeute"
"1985";3915;"Agent commercial indépendant";"Agent commercial indépendant"
"1986";2253;"Secrétaire assistante de direction";"Secrétaire assistante de direction"
"1987";8644;"Redaction";"Rédactrice commerciale"
"1988";9357;"COACHING";"Coach sportif"
"1989";7277;"Musicothérapeute";"Musicothérapeute"
"1990";6478;"Ingénieur hygiène, sécurité et environnement";"Ingénieur hygiène, sécurité et environnement"
"1991";1160;"gerante d'un commerce";"Gérante mandataire de commerce"
"1992";7609;"Directeur d'école primaire";"Directeur d'école primaire"
"1993";8580;"Cadre commercial";"Cadre commercial"
"1994";1656;"Leader réception";NA
"1995";6609;"Avocat";"Avocat"
"1996";6770;"Coordonnateur";"Coordonnateur commercial"
"1997";5548;"Chef de service educatif";"Chef de service éducatif"
"1998";1009;"Dj";"Disc jockey (DJ)"
"1999";8480;"Chef de service médico-social";"Chef de service médico-social"
"2000";5098;"Conseillère en insertion sociale et professionnelle";"Conseillère en insertion sociale et professionnelle"
"2001";2360;"Assistante maternelle agréée";"Assistante maternelle agréée"
"2002";2130;"Développeur freelance";"Développeur en informatique"
"2003";1988;"SNCF";NA
"2004";9896;"Assistante de régulation médicale (ARM)";"Assistante de régulation médicale (ARM)"
"2005";7242;"Pilote d’activités";NA
"2006";6913;"Ingénieur d'exploitation industrielle";"Ingénieur d'exploitation industrielle"
"2007";3217;"Responsable de magasin du commerce";"Responsable de magasin du commerce"
"2008";5391;"Notaire";"Notaire"
"2009";1989;"Conseillère en gestion d'entreprise";"Conseillère en gestion d'entreprise"
"2010";9558;"Technicien administratif de l'État";"Technicien administratif de l'État"
"2011";3952;"Administrateur adjoint des finances publiques";"Administrateur adjoint des finances publiques"
"2012";1266;"Gestionnaire paie";"Gestionnaire de paie"
"2013";1356;"Serveur";"Serveur de restaurant"
"2014";4237;"Technicien en imagerie médicale";"Technicien en imagerie médicale"
"2015";6501;"Secrétaire de groupe d'immeubles";"Secrétaire de groupe d'immeubles"
"2016";1196;"Assistant d'éducation (AED), éducateur sportif, coach mental";"Assistant d'éducation (AED)"
"2017";3298;"Gérant d’entreprise";"Gérant d'une entreprise de maçonnerie"
"2018";10104;"Plombier";"Plombier"
"2019";9022;"Pharmacienne assurance qualité";"Pharmacienne assurance qualité"
"2020";4826;"Orthesiste prothésiste";"Orthésiste"
"2021";1539;"Assistante ressources humaines";"Assistante ressources humaines (RH)"
"2022";8569;"Responsable Ressources humaines";"Responsable des ressources humaines (RH) d'entreprise"
