"";"dz_name.x";"diff_raw";"factor_raw";"diff";"factor"
"254";"Abdel Rahman El Bacha";0;0;-30;-0,0881488736532812
"255";"Isaac Stern";0;0;-23;-0,0682054070083526
"256";"Ivo Pogorelich";0;0;-25;-0,0749437921558832
"257";"Metropolitan Opera Orchestra";0;0;-31;-0,0929570278821072
"258";"Sir Colin Davis";0;0;-45;-0,13764992492374
"259";"Rudolf Buchbinder";0;0;-36;-0,11014788373279
"260";"Double Sens";0;0;-7;-0,0218818380743983
"261";"Daniel Harding";0;0;-20;-0,063391442155309
"262";"Aldo Ciccolini";0;0;-106;-0,336686077289572
"263";"Chamber Orchestra of Europe";0;0;-40;-0,127097967567322
"264";"Angèle Dubeau";0;0;-41;-0,130642591609135
"265";"Christopher Hogwood";0;0;-44;-0,141117177656447
"266";"Ensemble Matheus";0;0;-71;-0,228549867422093
"267";"Concerto Köln";0;0;-102;-0,328572122501259
"268";"Sandrine Piau";0;0;-14;-0,0451450404018287
"269";"Mikhail Pletnev";0;0;-85;-0,275080906148867
"270";"Beaux Arts Trio";0;0;-101;-0,327744726879394
"271";"Sonia Wieder-Atherton";0;0;-30;-0,09765625
"272";"Myung-Whun Chung";0;0;-16;-0,0527323519256724
"273";"Rinaldo Alessandrini";0;0;-61;-0,201153373558773
"274";"Salvatore Accardo";0;0;-6;-0,019824880224682
"275";"Dietrich Fischer-Dieskau";0;0;-72;-0,238611571030472
"276";"Philippe Herreweghe";0;0;-38;-0,126113668240454
"277";"José Carreras";0;0;-7;-0,0232569177464522
"278";"Sir Simon Rattle & Wiener Philharmoniker";0;0;-136;-0,453333333333333
"279";"Anne Gastinel";0;0;-74;-0,246707784630772
"280";"Jean-christophe Spinosi";0;0;-66;-0,224499236063414
"281";"Les Musiciens du Louvre";0;0;-27;-0,0922568140077411
"282";"Hilary Hahn";0;0;-54;-0,185215431352693
"283";"NDR Elbphilharmonie Orchester";0;0;-21;-0,0723570599406869
"284";"La Pieta";0;0;-40;-0,137931034482759
"285";"Walter Gieseking";0;0;-83;-0,288194444444444
"286";"Paul Ji";0;0;-9;-0,0314685314685315
"287";"Thomas Dunford";0;0;-24;-0,0841465552503943
"288";"Yehudi Menuhin";0;0;-62;-0,217798594847775
"289";"Quatuor Ébène";0;0;-99;-0,349411764705883
"290";"Emmanuel Pahud";0;0;-43;-0,153431391983507
"291";"The Orchestra of the Royal Opera House, Covent Garden";0;0;-53;-0,189285714285714
"292";"Jan Vogler";0;0;-66;-0,236842105263158
"293";"Gewandhausorchester";0;0;-48;-0,173843058350101
"294";"Sir John Barbirolli";0;0;-27;-0,0981699187977216
"295";"Gidon Kremer";0;0;-40;-0,146277541318326
"296";"Frank Braley";0;0;-50;-0,184295766782084
"297";"Ray Chen";0;0;-15;-0,0553846153846155
"298";"Kiri Te Kanawa";0;0;-20;-0,0742511601743776
"299";"Concerto Italiano";0;0;-46;-0,172715122853912
"300";"Pachelbel Orchestra";0;0;-23;-0,0869565217391304
"301";"Mao Fujita";0;0;-90;-0,340909090909091
"302";"Gunther Hasselmann";0;0;-131;-0,496212121212121
"303";"Skip Sempe";0;0;-70;-0,269368907131862
"304";"Giovanni Antonini";0;0;-38;-0,146341463414634
"305";"Pierre Fournier";0;0;-27;-0,10424039637089
"306";"Kent Nagano";0;0;-13;-0,0502027418420545
"307";"John Alldis Choir";0;0;-17;-0,0658719187887194
"308";"Orchestre National De France";0;0;-12;-0,0465868650922032
"309";"Bernard Haitink";0;0;-14;-0,0544555566360229
"310";"Anne Sofie von Otter";0;0;-19;-0,0741994794991325
"311";"Emmanuelle Haïm";0;0;-21;-0,082063305978898
"312";"Timothy Ridout";0;0;-25;-0,0985167752175578
"313";"Tullio Serafin";0;0;-82;-0,324047647424116
"314";"Théotime Langlois de Swarte";0;0;-10;-0,0396039603960396
"315";"Orchestra del Teatro Comunale di Bologna";0;0;-19;-0,0752599438851297
"316";"Orchestre de Paris";0;0;-9;-0,0357886763870478
"317";"Raphaël Pichon";0;0;-67;-0,267433296110623
"318";"San Francisco Symphony";0;0;-11;-0,0443101711983887
"319";"Bruno Fontaine";0;0;-97;-0,394041976980365
"320";"Jacqueline du Pré";0;0;-26;-0,105762711864407
"321";"Venice Baroque Orchestra";0;0;-13;-0,0529711375212223
"322";"Krystian Zimerman";0;0;-12;-0,0491803278688525
"323";"Ferenc Fricsay";0;0;-24;-0,0988104515578819
"324";"Diana Damrau";0;0;-13;-0,0538258858955745
"325";"Stephen Cleobury";0;0;-11;-0,0461190610478611
"326";"The King's Singers";0;0;-18;-0,0756832515767345
"327";"Bryn Terfel";0;0;-37;-0,155619586472413
"328";"Shida Shahabi";0;0;-87;-0,36864406779661
"329";"Göran Söllscher";0;0;-16;-0,0679309368808379
"330";"Akademie fur Alte Musik Berlin";0;0;-31;-0,131811616700188
"331";"Sviatoslav Richter";0;0;-8;-0,0340208377631299
"332";"London Festival Orchestra";0;0;-13;-0,055706327667476
"333";"Trio Wanderer";0;0;-83;-0,3567335243553
"334";"Russian National Orchestra";0;0;-57;-0,247288503253796
"335";"Laurent Naouri";0;0;-105;-0,457084814626713
"336";"Alain Boulfroy";0;0;-9;-0,0393013100436681
"337";"Ochestre de chambre tchécoslovaque de Prague";0;0;-9;-0,0393013100436681
"338";"Mitsuko Uchida";0;0;-16;-0,0701497990500549
"339";"Anna Netrebko";0;0;-9;-0,0396424488825654
"340";"Paul Agnew";0;0;-41;-0,181979582778518
"341";"John Nelson";0;0;-74;-0,329010744720266
"342";"Jean-Pierre Rampal";0;0;-74;-0,329719293034309
"343";"Georges Cziffra";0;0;-44;-0,196136701337296
"344";"Gustav Leonhardt";0;0;-51;-0,231993934799091
"345";"Midori Edamame";0;0;-102;-0,467889908256881
"346";"Jean-Guihen Queyras";0;0;-53;-0,245146085481757
"347";"Christophe Rousset";0;0;-22;-0,102619917593097
"348";"Los Angeles Philharmonic";0;0;-29;-0,135640785781104
"349";"Grigory Sokolov";0;0;-8;-0,0375000000000001
"350";"CLaire Désert";0;0;-29;-0,136281753387463
"351";"Benjamin Grosvenor";0;0;-38;-0,178683385579937
"352";"Vadim Chaimovich";0;0;-26;-0,122641509433962
"353";"Beatrice Rana";0;0;-38;-0,180379746835443
"354";"Pygmalion";0;0;-60;-0,288235529604191
"355";"André Laplante";0;0;-46;-0,221153846153846
"356";"Israel Philharmonic Orchestra";0;0;-19;-0,0917578879587893
"357";"Aleksandr Kopilov";0;0;-68;-0,329297820823245
"358";"Royal Concertgebouw Orchestra";0;0;-23;-0,111614364283403
"359";"Orchester der Deutschen Oper Berlin";0;0;-6;-0,0291308252893116
"360";"Gerald Moore";0;0;-47;-0,235039173195532
"361";"Eric Lu";0;0;-107;-0,54040404040404
"362";"Orchestra dell'Accademia Nazionale di Santa Cecilia";0;0;-7;-0,0355992541108663
"363";"Orchestre Paul Kuentz";0;0;-34;-0,175018231065736
"364";"Stephen Kovacevich";0;0;-81;-0,419507984462668
"365";"Mischa Maisky";0;0;-16;-0,0839903761027382
"366";"Ophélie Gaillard";0;0;-38;-0,201075932621925
"367";"Royal Liverpool Philharmonic Orchestra";0;0;-30;-0,159763313609467
"368";"Andrea Marcon";0;0;-14;-0,0745937305745495
"369";"Geza Anda";0;0;-8;-0,0428533166681547
"370";"Giuseppe Sinopoli";0;0;-15;-0,0808305759635374
"371";"Ton Koopman";0;0;-43;-0,232397537907221
"372";"Piotr Anderszewski";0;0;-78;-0,423913043478261
"373";"María Bayo";0;0;-44;-0,241404535479151
"374";"Capriccio Stravagante";0;0;-44;-0,243093922651934
"375";"Otto Klemperer";0;0;-46;-0,255165719040355
"376";"Alain Lombard";0;0;-36;-0,203955000404672
"377";"Guillaume Coppola";0;0;-42;-0,237960339943343
"378";"New York Philharmonic Orchestra";0;0;-9;-0,0512479832969535
"379";"Paul Tortelier";0;0;-68;-0,391629871376465
"380";"Les Talens Lyriques";0;0;-13;-0,0750350438391556
"381";"Accademia Bizantina";0;0;-16;-0,0927849997583722
"382";"Reinbert de Leeuw";0;0;-9;-0,0533596837944663
"383";"Gustavo Dudamel";0;0;-22;-0,131330215898915
"384";"Orchestra Del Teatro Alla Scala Di Milano";0;0;-23;-0,137338707036873
"385";"Barbara Bonney";0;0;-45;-0,270427533052253
"386";"Leonidas Kavakos";0;0;-51;-0,309967585089142
"387";"Ludmila Berlinskaya";0;0;-14;-0,0861538461538462
"388";"François-Frédéric Guy";0;0;-37;-0,228160328879753
"389";"Christian Ferras";0;0;-7;-0,0434108527131783
"390";"Paul Kuentz";0;0;-26;-0,165890636749637
"391";"Kim Bernard";0;0;-104;-0,666666666666667
"392";"Boris Berezovsky";0;0;-11;-0,0705203547387543
"393";"Sir David Willcocks";0;0;-10;-0,0646638250902746
"394";"Orchestre Philharmonique De Monte-Carlo";0;0;-29;-0,187629977663098
"395";"Arthur Ancelle";0;0;-15;-0,0970873786407767
"396";"François Chaplin";0;0;-13;-0,084233261339093
"397";"Arcadi Volodos";0;0;-66;-0,428571428571429
"398";"Andrew Parrott";0;0;-52;-0,338303063160749
"399";"Evgeny Kissin";0;0;-23;-0,150819672131148
"400";"Michel Dalberto";0;0;-11;-0,0723684210526316
"401";"Jean-Pierre Wallez";0;0;-28;-0,185123966942149
"402";"Deutsche Kammerphilharmonie Bremen";0;0;-39;-0,258278145695364
"403";"Martin Helmchen";0;0;-7;-0,0465528707603635
"404";"Nigel Kennedy & English Chamber Orchestra";0;0;-74;-0,496644295302013
"405";"Orchestra del Maggio Musicale Fiorentino";0;0;-7;-0,0470010826653147
"406";"Staatskapelle Dresden";0;0;-14;-0,0940103070257251
"407";"Antal Dorati";0;0;-23;-0,154578549425931
"408";"René Jacobs";0;0;-10;-0,06750476149657
"409";"Olivier Latry";0;0;-18;-0,121621621621622
"410";"Lisa Batiashvili";0;0;-35;-0,237167541927833
"411";"Samuele Telari";0;0;-71;-0,481900452488689
"412";"François-René Duchâble";0;0;-48;-0,326160815402038
"413";"Janine Jansen";0;0;-19;-0,130789709797462
"414";"Nicholas Angelich";0;0;-59;-0,406803033785338
"415";"Cristina Ortiz";0;0;-30;-0,206896551724138
"416";"Les Ombres";0;0;-11;-0,0765838941749828
"417";"Philippe Entremont";0;0;-44;-0,312426035502959
"418";"Wiener Symphoniker";0;0;-6;-0,0431365087474546
"419";"Hans Vonk, Sabine Meyer & Staatskapelle Dresden";0;0;-69;-0,496402877697842
"420";"Hopkinson Smith";0;0;-28;-0,202857717850674
"421";"Cameron Carpenter";0;0;-17;-0,123861566484517
"422";"Passionata Symphony Orchestra";0;0;-68;-0,5
"423";"Erich Leinsdorf";0;0;-6;-0,0442940633651185
"424";"Jonathan Stockhammer";0;0;-13;-0,0973175296319403
"425";"Freiburger Barockorchester";0;0;-28;-0,209642484691286
"426";"Avi Avital";0;0;-8;-0,0602204498610987
"427";"Fritz Reiner";0;0;-6;-0,0453172205438066
"428";"Collegium Vocale Gent";0;0;-17;-0,128475419029596
"429";"Cheryl Studer";0;0;-6;-0,0454328479179458
"430";"Sigiswald Kuijken";0;0;-55;-0,417774401823016
"431";"Bruce Brubaker";0;0;-10;-0,0760456273764259
"432";"Alison Hagley";0;0;-23;-0,175898224243475
"433";"Ludovic Tézier";0;0;-51;-0,390975796736393
"434";"Jean-Bernard Pommier";0;0;-31;-0,237851662404093
"435";"Coro dell'Accademia Nazionale Di Santa Cecilia";0;0;-7;-0,0537177624907502
"436";"François-Xavier Roth";0;0;-21;-0,162622612287042
"437";"Steven Isserlis";0;0;-9;-0,0697674418604651
"438";"Andrei Gavrilov";0;0;-15;-0,116489774786435
"439";"Jean-Joël Barbier";0;0;-16;-0,125490196078431
"440";"Konzerthausorchester Berlin";0;0;-13;-0,102161100196464
"441";"LES SIECLES";0;0;-20;-0,159193420005307
"442";"Christoph Prégardien";0;0;-58;-0,462467251395374
"443";"Célimène Daudet";0;0;-35;-0,28
"444";"Regula Mühlemann";0;0;-61;-0,488260405549628
"445";"Gundula Janowitz";0;0;-7;-0,0565067670377193
"446";"Symphonieorchester des Bayerischen Rundfunks";0;0;-13;-0,105332279713742
"447";"Andre Cluytens";0;0;-23;-0,18793408688547
"448";"Cincinnati Pops Orchestra";0;0;-7;-0,0573378839590445
"449";"Orchestre Philharmonique de Radio France";0;0;-14;-0,117977528089887
"450";"Quatuor Modigliani";0;0;-52;-0,439684329199548
"451";"Mark Ermler";0;0;-12;-0,103004291845494
"452";"Julien Libeer";0;0;-57;-0,49279538904899
"453";"Han de Vries";0;0;-30;-0,260303687635575
"454";"Claudio Scimone";0;0;-26;-0,226119727496739
"455";"Christophe Coin";0;0;-14;-0,122377622377622
"456";"Patrick Messina";0;0;-28;-0,245757753071973
"457";"Bengt Forsberg";0;0;-6;-0,0527207682169082
"458";"Café Zimmermann";0;0;-42;-0,369501466275659
"459";"Hugo Reyne";0;0;-17;-0,151066350710901
"460";"La Simphonie Du Marais";0;0;-17;-0,151066350710901
"461";"Quatuor Voce";0;0;-10;-0,0890207715133534
"462";"Pierre Hantaï";0;0;-9;-0,0812379110251453
"463";"David Parry";0;0;-8;-0,0724651888682807
"464";"ENSEMBLE CONTRASTE";0;0;-14;-0,128715905608335
"465";"Orchestre Révolutionnaire et Romantique";0;0;-16;-0,147595026316705
"466";"Augustin Hadelich";0;0;-46;-0,432601880877744
"467";"Michaël Lévinas";0;0;-11;-0,10377358490566
"468";"Igor Markevitch";0;0;-9;-0,085001124353497
"469";"Mariam Batsashvili";0;0;-13;-0,123809523809524
"470";"Aimi Kobayashi";0;0;-12;-0,114285714285714
"471";"Jupiter";0;0;-15;-0,14308426073132
"472";"José Van Dam";0;0;-12;-0,115190548467818
"473";"Ottavio Dantone";0;0;-18;-0,172979899095059
"474";"Juan Diego Flórez";0;0;-37;-0,357081308379003
"475";"Sir Charles Mackerras";0;0;-6;-0,0581046806548304
"476";"Irwin Gage";0;0;-9;-0,0879478827361566
"477";"Matthias Höfs";0;0;-30;-0,293446364525596
"478";"Sara Mingardo";0;0;-13;-0,130908860447016
"479";"Barbara Schlick";0;0;-10;-0,10108546535416
"480";"BBC Symphony Orchestra";0;0;-6;-0,0606921798607933
"481";"Ivan Fischer";0;0;-13;-0,133401744484351
"482";"Eivind Gullberg Jensen, Vilde Frang & Danish National Symphony Orchestra";0;0;-48;-0,494845360824742
"483";"Maxim Vengerov";0;0;-16;-0,166262556286803
"484";"Quatuor Hanson";0;0;-39;-0,406815020862309
"485";"Walter Rinaldi";0;0;-26;-0,27177700348432
"486";"Ivan Moravec";0;0;-36;-0,37696335078534
"487";"Jessye Norman";0;0;-19;-0,200504191827402
"488";"Victoria de los Angeles";0;0;-6;-0,0634920634920635
"489";"Philippe Jordan";0;0;-38;-0,402116402116402
"490";"Adam Laloum";0;0;-34;-0,361061946902655
"491";"Louis Langree";0;0;-16;-0,170970614425646
"492";"Ruth Slenczynska";0;0;-16;-0,172043010752688
"493";"Anna Vinnitskaya";0;0;-6;-0,0655141037306643
"494";"Philip Langshaw";0;0;-9;-0,0985709815374986
"495";"Jean-Philippe Collard";0;0;-8;-0,0877513711151736
"496";"James Judd";0;0;-28;-0,307410795974383
"497";"Orchestre de l'Opéra de Rouen Normandie";0;0;-17;-0,1876215335564
"498";"Magdalena Kozena";0;0;-10;-0,110451712439843
"499";"Michel Corboz";0;0;-43;-0,474963181148748
"500";"Christian Zacharias";0;0;-17;-0,188018433179723
"501";"Michael Tilson Thomas";0;0;-6;-0,0671015843429637
"502";"Hillevi Martinpelto";0;0;-14;-0,157344296344108
"503";"Damien Guillon";0;0;-8;-0,0901852017536011
"504";"Michel Chapuis";0;0;-40;-0,451552210724365
"505";"Pablo Casals";0;0;-22;-0,24891570808976
"506";"Johan Farjot";0;0;-14;-0,158700170035896
"507";"BBC National Orchestra Of Wales";0;0;-6;-0,06815834767642
"508";"Alessandro De Lucci";0;0;-36;-0,409090909090909
"509";"Mirella Freni";0;0;-9;-0,102561151079137
"510";"Ben Glassberg";0;0;-17;-0,194310388620777
"511";"Giuliano Carmignola";0;0;-19;-0,217391304347826
"512";"Jerusalem Quartet";0;0;-8;-0,0916905444126074
"513";"Kun-Woo Paik";0;0;-26;-0,298850574712644
"514";"France Clidat";0;0;-6;-0,069364161849711
"515";"Mieczyslaw Horszowski";0;0;-53;-0,616279069767442
"516";"Clara Schumann";0;0;-28;-0,325581395348837
"517";"Elina Garanca";0;0;-6;-0,0699776460297405
"518";"Radu Lupu";0;0;-16;-0,187866927592955
"519";"Borodin Quartet";0;0;-39;-0,461538461538462
"520";"Hughes De Courson";0;0;-24;-0,287425149700599
"521";"I Barocchisti";0;0;-14;-0,167913644411446
"522";"Simón Bolívar Youth Orchestra of Venezuela";0;0;-8;-0,096
"523";"Dubravka Tomsic";0;0;-27;-0,325301204819277
"524";"Alban Berg Quartett";0;0;-36;-0,436363636363636
"525";"Budapest Festival Orchestra";0;0;-13;-0,15767131594906
"526";"Leontyne Price";0;0;-7;-0,0849889624724061
"527";"Kurt Masur";0;0;-25;-0,303951367781155
"528";"Emanuel Ax";0;0;-9;-0,11214953271028
"529";"Adolphe Arnaud";0;0;-39;-0,4875
"530";"Emile Naoumoff";0;0;-17;-0,2125
"531";"J.S. Bach Orchestra";0;0;-46;-0,577405857740586
"532";"Michael Riesman";0;0;-21;-0,265822784810127
"533";"Seong-Jin Cho";0;0;-14;-0,177589852008457
"534";"Pulcinella Orchestra";0;0;-15;-0,190274841437632
"535";"Alfred Deller";0;0;-19;-0,242089615629645
"536";"Elisabeth Schwarzkopf";0;0;-10;-0,128901777317851
"537";"Lucile Richardot";0;0;-7;-0,0926057169855894
"538";"Arnaud Thorette";0;0;-14;-0,185922974767596
"539";"Le Banquet Céleste";0;0;-6;-0,0798226164079822
"540";"Joël Pontet";0;0;-23;-0,306666666666667
"541";"Carlo Bergonzi";0;0;-6;-0,0802032664795964
"542";"James Ehnes";0;0;-28;-0,375838926174497
"543";"Charles Neidich";0;0;-23;-0,309417040358745
"544";"William Youn";0;0;-8;-0,10762331838565
"545";"Berlin Philharmonic Orchestra";0;0;-27;-0,364454443194601
"546";"Noel Akchoté";0;0;-7;-0,0945945945945946
"547";"La Petite Bande";0;0;-7;-0,0959561343385881
"548";"Isabelle Faust";0;0;-11;-0,152284263959391
"549";"Michele Pertusi";0;0;-11;-0,154041077620699
"550";"James Bowman";0;0;-12;-0,168224534658614
"551";"Tana Quartet";0;0;-35;-0,492957746478873
"552";"David Daniels";0;0;-20;-0,282021151586369
"553";"Alexis Descharmes";0;0;-23;-0,326241134751773
"554";"Sébastien Vichard";0;0;-23;-0,326241134751773
"555";"Tatjana Grindenko";0;0;-34;-0,482954545454545
"556";"Benjamin Alard";0;0;-30;-0,431654676258993
"557";"Wiener Kammerorchester";0;0;-17;-0,244897959183673
"558";"Orchestre Du Capitole De Toulouse";0;0;-15;-0,216242191254205
"559";"Aaron Pilsan";0;0;-22;-0,319612590799032
"560";"Emerson String Quartet";0;0;-6;-0,0871670702179177
"561";"Amandine Beyer";0;0;-18;-0,262454434993925
"562";"Orchestre de l'Opéra National de Paris";0;0;-7;-0,102289332683877
"563";"London Symphony Chorus";0;0;-9;-0,131779370119283
"564";"Vadym Kholodenko";0;0;-20;-0,294117647058824
"565";"Matthias Goerne";0;0;-10;-0,147252169339995
"566";"Jean-Claude Malgoire";0;0;-7;-0,103252089625623
"567";"Baldassare Galuppi";0;0;-22;-0,325925925925926
"568";"Rundfunkchor Berlin";0;0;-25;-0,371494921294539
"569";"Sylvia McNair";0;0;-10;-0,149414711527733
"570";"Anthony Rolfe Johnson";0;0;-6;-0,0897143026671017
"571";"Giuseppe Di Stefano";0;0;-9;-0,134651349185146
"572";"Orquesta Lírica de Barcelona";0;0;-12;-0,180451127819549
"573";"Noelia Rodiles";0;0;-33;-0,5
"574";"Franz Vorraber";0;0;-32;-0,484848484848485
"575";"Münchener Bach-Chor";0;0;-10;-0,151761517615176
"576";"Alessandro De Marchi";0;0;-13;-0,197668525088697
"577";"Staatskapelle Berlin";0;0;-15;-0,23037542662116
"578";"Kian Soltani";0;0;-7;-0,108247422680412
"579";"Tim Mead";0;0;-15;-0,232438016528926
"580";"Walter Susskind";0;0;-20;-0,310077519379845
"581";"Emil Gilels";0;0;-10;-0,155199172271081
"582";"Marie-Andrée Joerger";0;0;-32;-0,5
"583";"Severin von Eckardstein";0;0;-30;-0,46875
"584";"Lionel Rogg";0;0;-29;-0,453125
"585";"Stéphane Degout";0;0;-11;-0,172704900158874
"586";"Julien Chauvin";0;0;-9;-0,141676505312869
"587";"Marin Marais";0;0;-17;-0,267716535433071
"588";"Lucile Boulanger";0;0;-29;-0,458498023715415
"589";"Choir of Clare College, Cambridge";0;0;-12;-0,19047619047619
"590";"Hugues Navez";0;0;-15;-0,238095238095238
"591";"François Mardirossian";0;0;-31;-0,492063492063492
"592";"Karl Munchinger";0;0;-8;-0,127386925147544
"593";"Antoinette Dennefeld";0;0;-11;-0,175516354933073
"594";"Kammerorchester Basel";0;0;-14;-0,224059749266471
"595";"Jorge Bolet";0;0;-7;-0,112299465240642
"596";"Blandine Verlet";0;0;-19;-0,307277628032345
"597";"Franz Welser-Möst";0;0;-11;-0,178378378378378
"598";"Stuttgarter Kammerorchester";0;0;-8;-0,129798220425192
"599";"Ruggero Raimondi";0;0;-7;-0,113643684529255
"600";"Christopher Warren-Green";0;0;-11;-0,178861788617886
"601";"Bernhard Forck";0;0;-12;-0,196560196560197
"602";"György Cziffra";0;0;-8;-0,131868131868132
"603";"Orchestre National Bordeaux Aquitaine";0;0;-11;-0,181818181818182
"604";"Truls Mørk";0;0;-22;-0,366158113730929
"605";"Sladjana Gajić";0;0;-30;-0,5
"606";"Marie-Nicole Lemieux";0;0;-12;-0,200095283468318
"607";"Orchestre de la société des concerts du conservatoire";0;0;-6;-0,10016694490818
"608";"Thomas Beecham";0;0;-8;-0,134131736526946
"609";"Sergiu Celibidache";0;0;-25;-0,420168067226891
"610";"Warsaw Soloists, Fournier, Stefanowicz";0;0;-29;-0,491525423728814
"611";"Dong Hyek Lim";0;0;-15;-0,254237288135593
"612";"Philharmonia Quartett Berlin";0;0;-18;-0,307692307692308
"613";"Jacques Fevrier";0;0;-7;-0,11965811965812
"614";"Le Concert de la Loge";0;0;-9;-0,15510555794916
"615";"Marcela Roggeri";0;0;-21;-0,362068965517241
"616";"Pamela Helen Stephen";0;0;-10;-0,173519388851192
"617";"Berliner Barock Solisten";0;0;-23;-0,40174672489083
"618";"Le Concert d'Astrée";0;0;-7;-0,122377622377622
"619";"Bertrand Cuiller";0;0;-16;-0,280701754385965
"620";"Richard Hein";0;0;-17;-0,298245614035088
"621";"Alexander Lazarev";0;0;-10;-0,175438596491228
"622";"Lorenzo Ghielmi";0;0;-8;-0,140350877192982
"623";"Aleksandra Kurzak";0;0;-14;-0,248520710059172
"624";"Victor Julien-Laferrière";0;0;-15;-0,266903914590747
"625";"Amanda Favier";0;0;-13;-0,232142857142857
"626";"Anton Kingsbury";0;0;-28;-0,5
"627";"Ernest Ansermet";0;0;-7;-0,125373134328358
"628";"Alexander Stevenson";0;0;-8;-0,144628099173554
"629";"Fritz Wunderlich";0;0;-6;-0,108715431164316
"630";"Sir Simon Rattle & Berliner Philharmoniker";0;0;-14;-0,254545454545455
"631";"Frank Peter Zimmermann";0;0;-12;-0,218512898330804
"632";"Eric Heidsieck";0;0;-27;-0,492401215805471
"633";"Axel Salles";0;0;-13;-0,240740740740741
"634";"Ofra Harnoy";0;0;-11;-0,203703703703704
"635";"Quatuor Mosaïques";0;0;-18;-0,333951762523191
"636";"Gli Incogniti";0;0;-13;-0,242612752721618
"637";"Alessandro Tampieri";0;0;-11;-0,205607476635514
"638";"Arnold Schoenberg Chor";0;0;-21;-0,395046245493024
"639";"The City of Prague Philharmonic Chamber Group";0;0;-17;-0,320754716981132
"640";"Solistengemeinschaft Der Bachwoche Ansbach";0;0;-8;-0,150943396226415
"641";"Rikke Sandberg";0;0;-12;-0,226415094339623
"642";"Luxembourg Philharmonia";0;0;-12;-0,226415094339623
"643";"Moscow Philharmonic Orchestra";0;0;-13;-0,2455919395466
"644";"Camille Thomas";0;0;-7;-0,132492113564669
"645";"Carmen-Suite";0;0;-26;-0,5
"646";"Tanguy de Williencourt";0;0;-6;-0,115384615384615
"647";"Orfeo 55";0;0;-9;-0,175895765472313
"648";"Ann Murray";0;0;-8;-0,156378473137964
"649";"Andreas Staier";0;0;-10;-0,198807157057654
"650";"Simone Dinnerstein";0;0;-19;-0,38
"651";"Frank Dupree";0;0;-25;-0,5
"652";"Thomas Quasthoff";0;0;-18;-0,363636363636364
"653";"Rémi Geniet";0;0;-24;-0,489795918367347
"654";"Coro Del Teatro Alla Scala Di Milano";0;0;-7;-0,143988139010442
"655";"Choeurs et Orchestre de la Scala de Milan";0;0;-24;-0,494845360824742
"656";"Angela Gheorghiu";0;0;-7;-0,145738041053604
"657";"The English Concert dir. Trevor Pinnock";0;0;-24;-0,5
"658";"Douglas Perry";0;0;-19;-0,395833333333333
"659";"Wolfgang Sawallisch";0;0;-11;-0,229479697007326
"660";"The English Concert Choir";0;0;-8;-0,166964818127609
"661";"Orchestre & Chorale Paul Kuentz";0;0;-7;-0,146443514644351
"662";"Yann Beuron";0;0;-19;-0,398932871872521
"663";"Guarneri Quartet";0;0;-23;-0,484210526315789
"664";"Yaara Tal";0;0;-21;-0,442105263157895
"665";"David Grimal";0;0;-20;-0,421052631578947
"666";"Arthur Friedheim";0;0;-23;-0,48936170212766
"667";"Joseph Moog";0;0;-31;-0,659574468085106
"668";"Jeremie Rhorer";0;0;-15;-0,319148936170213
"669";"Catherine Collard";0;0;-23;-0,48936170212766
"670";"Academia Montis Regalis";0;0;-10;-0,216450216450216
"671";"Duo Ykeda";0;0;-23;-0,5
"672";"Renata Scotto";0;0;-12;-0,263391690619284
"673";"Boris Begelman";0;0;-11;-0,24264705882353
"674";"Florian Sempey";0;0;-10;-0,221145745577085
"675";"Herbert Lippert";0;0;-7;-0,154844146382142
"676";"Monica Huggett";0;0;-7;-0,155143754232593
"677";"Louis-Noël Bestion de Camboulas";0;0;-10;-0,223048327137547
"678";"Ferruccio Busoni";0;0;-27;-0,609022556390978
"679";"Toronto Symphony Orchestra";0;0;-11;-0,24929178470255
"680";"Marie-Catherine Girod";0;0;-6;-0,136363636363636
"681";"Christian Gerhaher";0;0;-12;-0,272830617658204
"682";"Raphaël Oleg";0;0;-9;-0,205401293267402
"683";"Sylvain Cambreling";0;0;-18;-0,411115340692806
"684";"Kathleen Ferrier";0;0;-13;-0,297709923664122
"685";"Daniel Lozakovich";0;0;-7;-0,160427807486631
"686";"Kristian Bezuidenhout";0;0;-16;-0,36923076923077
"687";"Jeremy Limb";0;0;-7;-0,162790697674419
"688";"SLIXS";0;0;-21;-0,488372093023256
"689";"Ramin Bahrami";0;0;-11;-0,255813953488372
"690";"Riccardo Minasi";0;0;-9;-0,209541200639123
"691";"Peter Whelan";0;0;-11;-0,256809338521401
"692";"Les Accents";0;0;-8;-0,186770428015564
"693";"Thibault Noally";0;0;-8;-0,186770428015564
"694";"Rudolf Kempe";0;0;-16;-0,373613543490952
"695";"Ensemble Pygmalion";0;0;-7;-0,16522423288749
"696";"Llyr Williams";0;0;-21;-0,5
"697";"Studio46";0;0;-16;-0,380952380952381
"698";"Sir Roger Norrington";0;0;-6;-0,143734643734644
"699";"Jean Nirouet";0;0;-6;-0,143835616438356
"700";"Les Argonautes";0;0;-11;-0,264847512038523
"701";"Jonas Descotte";0;0;-11;-0,264847512038523
"702";"Ensemble Resonanz";0;0;-9;-0,216867469879518
"703";"Daniel Behle";0;0;-15;-0,362736066328881
"704";"Christoph Spering";0;0;-7;-0,169811320754717
"705";"The Berlin Philharmonic Orchestra";0;0;-20;-0,48780487804878
