"";"dz_name.x";"diff_raw";"factor_raw";"diff";"factor"
"819";"Helga Schauerte";0;0;-6;-0,27906976744186
"820";"Klaus Tennstedt";0;0;-10;-0,468750000000001
"821";"Michel Beroff";0;0;-7;-0,333333333333333
"822";"Andreas Mühlen";0;0;-10;-0,476190476190476
"823";"Hans-Peter Westermann";0;0;-10;-0,476190476190476
"824";"Tokaido Classical Music Conservatory";0;0;-8;-0,380952380952381
"825";"Vadim Repin";0;0;-6;-0,286852589641434
"826";"Handel And Haydn Society";0;0;-9;-0,435483870967741
"827";"Hubert Giesen";0;0;-6;-0,292682926829268
"828";"Thomas Søndergård";0;0;-6;-0,292682926829268
"829";"Mikko Franck";0;0;-8;-0,396694214876032
"830";"Trio Sōra";0;0;-10;-0,5
"831";"Iona Brown, Mstislav Rostropovich & Academy of St. Martin in the Fields";0;0;-10;-0,5
"832";"Paolo Beschi";0;0;-10;-0,5
"833";"Rudolf Firkusny";0;0;-8;-0,4
"834";"Yuri Egorov";0;0;-10;-0,5
"835";"Ludwig Hoffmann";0;0;-6;-0,3
"836";"Amadeus Quartet";0;0;-9;-0,451882845188284
"837";"Michèle Boegner";0;0;-6;-0,307692307692308
"838";"Jean Mouillère";0;0;-6;-0,307692307692308
"839";"The Gryphon Trio";0;0;-9;-0,473684210526316
"840";"David Kenedy";0;0;-9;-0,473684210526316
"841";"HJ Lim";0;0;-9;-0,473684210526316
"842";"London Baroque/Charles Medlam";0;0;-9;-0,473684210526316
"843";"David Nebel";0;0;-9;-0,473684210526316
"844";"Immortal Bach Ensemble";0;0;-6;-0,324324324324324
"845";"Kirsty Chaplin";0;0;-9;-0,5
"846";"The Vienna Synorchestra";0;0;-12;-0,666666666666667
"847";"Jonas Vitaud";0;0;-9;-0,5
"848";"Fanny Vicens";0;0;-8;-0,457142857142857
"849";"Theodosia Ntokou";0;0;-7;-0,4
"850";"Jonathan Fournel";0;0;-8;-0,461538461538462
"851";"New London Singers";0;0;-8;-0,470588235294118
"852";"Tianxu An";0;0;-12;-0,705882352941177
"853";"François Dumont";0;0;-7;-0,411764705882353
"854";"Concerto Brandenburg";0;0;-6;-0,352941176470588
"855";"Nicolas van Poucke";0;0;-8;-0,470588235294118
"856";"Georg Hortnagel";0;0;-8;-0,470588235294118
