artist_id,genre
15764,Rap/Hip Hop
15781,Pop
15792,Alternative
15820,Pop
15896,Folk
15921,Films/Jeux vidéo
15975,Chanson française
15986,Films/Jeux vidéo
16044,Jeunesse
16102,Pop
16111,Rap/Hip Hop
16163,Pop
16166,Jeunesse
16204,Pop
16208,Musique asiatique
16224,Rock
16231,Classique
16245,Electro
16246,Chanson française
16323,Reggae
16324,Films/Jeux vidéo
16340,Pop
16361,Films/Jeux vidéo
16381,Classique
16412,Alternative
16469,Films/Jeux vidéo
16481,Alternative
16596,Films/Jeux vidéo
16598,Classique
16623,Pop
16652,Spiritualité & religion
16659,Classique
16700,Dance
16722,Jazz
16728,Latino
16743,Electro
16823,Rap/Hip Hop
16856,Electro
16860,Electro
16872,Jazz
16874,Pop
16888,Jazz
16957,Rap/Hip Hop
16958,Alternative
16972,Films/Jeux vidéo
16991,Electro
17038,Pop
17048,Rap/Hip Hop
17081,Folk
17084,Pop
17167,Classique
17272,Classique
17291,Electro
17293,R&B
17332,Alternative
54124,Pop
54127,Pop
54132,Pop
54136,Pop
54138,Pop
54140,Musique asiatique
54212,Livres audio
54215,Livres audio
54245,Pop
54288,Pop
54299,Pop
54313,Pop
54734,Pop
54782,Jazz
54809,Pop
54981,Classique
55014,Folk
55068,Pop
55092,Rap/Hip Hop
55100,Alternative
55119,Pop
55132,Alternative
55152,Jeunesse
55153,Pop
55173,Alternative
55202,Jazz
55218,Musique asiatique
55250,Rock
55288,Alternative
55326,Pop
55350,Alternative
55351,Pop
55397,Musique africaine
55424,Musique africaine
55451,Pop
55462,Musique arabe
55470,Musique arabe
55475,Classique
55534,Pop
55536,Chanson française
55577,Pop
55587,Pop
55590,Alternative
55629,Classique
55632,Films/Jeux vidéo
55737,Rap/Hip Hop
55757,Musique brésilienne
55773,Musique africaine
55880,Musique africaine
55884,Musique africaine
55978,Pop
55982,Pop
55985,Classique
55986,Pop
56001,Pop
56003,Pop
56009,Pop
56018,Pop
56019,Pop
56023,Pop
56203,Films/Jeux vidéo
56222,Musique africaine
56251,Pop
56254,Musique africaine
56259,Alternative
56262,Musique africaine
56265,Musique africaine
56305,Musique africaine
56439,Pop
56490,Pop
56610,Pop
56804,Metal
56823,Pop
56828,Pop
56833,Pop
56842,Rock
57022,Pop
57054,Jazz
57059,Pop
57132,Electro
57147,Chanson française
57154,Pop
57168,Livres audio
57173,Pop
57211,Chanson française
57212,Chanson française
57218,Chanson française
57284,Electro
57365,Jazz
57456,Pop
57468,Rap/Hip Hop
57650,Soul & Funk
57719,Chanson française
57834,Jazz
57915,Dance
57971,Pop internationale
57993,Films/Jeux vidéo
57995,Pop
58001,Jeunesse
58007,Pop
58013,Jeunesse
58036,Electro
58042,Pop
58076,Chanson française
58396,Rock
58773,Alternative
58804,Chanson française
58807,Rock
58833,Classique
58834,Classique
58836,Classique
58838,Classique
58840,Classique
58843,Classique
58844,Classique
58845,Classique
58846,Classique
58876,Jeunesse
58958,Films/Jeux vidéo
59236,Classique
59711,Classique
59749,Classique
59750,Classique
60107,Classique
60123,Classique
60601,Pop
60603,Pop
60883,Pop
61178,Alternative
61283,Reggae
61286,Reggae
61322,Reggae
61386,Reggae
61448,Reggae
61456,Reggae
61519,Pop
61527,Electro
61540,Rap/Hip Hop
61721,Classique
61793,Alternative
62169,Electro
62245,Rap/Hip Hop
62253,Musique asiatique
62303,Alternative
62479,Pop
62481,Electro
62482,Pop
62484,Jazz
62488,Jazz
62494,Jazz
62815,Electro
63241,Rap/Hip Hop
63247,Alternative
63274,Pop
63298,Alternative
63341,Alternative
63376,Rap/Hip Hop
63818,Pop
63912,Rap/Hip Hop
63922,Reggae
64139,Country
64196,Pop
64231,Electro
64337,Rock
64371,Pop
64379,Rock
64380,Pop
64384,Latino
64444,Livres audio
64578,Jeunesse
64579,Livres audio
64582,Films/Jeux vidéo
64648,Pop
64822,Pop
64974,Pop
65016,Rap/Hip Hop
65035,Classique
65191,Pop
65361,Electro
65370,Alternative
65384,Chanson française
65449,Classique
65671,Classique
65708,Jazz
65782,Classique
66064,Pop
66072,R&B
66101,Jeunesse
66210,Pop
66467,Pop
66682,Electro
66698,Pop
67031,Pop
67081,Films/Jeux vidéo
67092,Pop
67166,Pop
67171,Classique
67227,Rock
67322,Alternative
67699,Dance
67758,Films/Jeux vidéo
67822,Films/Jeux vidéo
67965,Classique
