dz_artist_id;dz_name;aliases;last_name_only;period_szk;period_s
87371;Morton Subotnick;Morton Subotnick;T;NA;NA
87383;Percy Grainger;Grainger;T;;Romantique/Moderne
8762;Georges Bizet;Bizet;T;Romantique;Romantique
880037;Christian Wolff;Christian Wolff;;;Moderne
887;Michael Nyman;Michel Nyman;;Moderne;Moderne
88979;Helmut Lachenmann;Lachenmann;T;NA;NA
88981;Mauricio Kagel;Mauricio Kagel;;Contemporaine;
8980120;Sergio Díaz De Rojas;De Rojas;T;NA;NA
9015;Paul Dukas;Dukas;T;Post-romantique;Romantique/Moderne
91220;Thierry Escaich;Thierry Escaich;T;NA;NA
9140;Scott Joplin;Joplin;T;;Romantique/Moderne
9154;Edgard Varèse;Varèse;T;Moderne;Romantique/Moderne
92837852;A. Blomqvist;A. Blomqvist;T;NA;NA
95239;Benjamin Britten;Britten;T;Moderne;Moderne
9999386;Camille Pépin;Camille Pepin;;Contemporaine;
