art_id,lang,nb_songs
339211,en,41
264040,en,41
12433042,fr,32
299581,en,34
187001,en,35
12114772,en,39
5312377,en,41
160734,de,33
390841,en,34
10144568,en,44
8071,en,38
540484,en,43
10883,en,37
2132,en,56
392408,en,67
5304,en,86
62261152,pt,31
179102,en,34
1299,en,58
15166511,en,36
5451768,en,32
11933635,fr,73
1397111,fr,35
188678,en,64
4572,en,32
11983,en,69
4791756,en,37
8032209,da,32
155981,en,48
106106612,en,40
61814092,fr,34
5127723,en,46
149808,pt,36
1526,es,39
13549877,ja,32
77507,en,92
2060,en,1207
7306,en,982
68856692,en,174
1892,en,693
64905,it,56
9727,pt,186
8955,en,627
7604,en,63
1191615,fr,649
4118,en,101
83299,en,228
111266,en,251
5101,en,97
298705,en,169
1272674,es,106
10286020,pt,56
120,en,207
391228,en,61
2496,en,172
5034052,en,32
903536,en,48
101653,es,252
1059333,en,65
309541,en,225
5762,en,99
956,en,102
6748,en,178
5462679,en,72
1278102,en,31
3244,en,135
72427,en,68
215668,de,389
1951,en,284
3606,en,37
14549,en,54
15796,es,260
71766492,en,252
16388,en,39
1857,en,367
147673,en,38
9525,en,147
94825,tr,37
11060196,it,75
4116,en,40
98088,es,48
6935,en,66
3612,en,173
501,en,109
311820,en,218
6815,fr,255
70049,de,290
2157041,en,48
71251,en,205
280732,fr,44
6835,en,200
1909641,en,48
8803,de,187
70292,de,637
214938,fi,99
78302,en,88
3668,en,228
8145492,pt,76
84272,es,33
1268,en,139
67976,es,155
1702209,it,49
111420,en,38
2518,fr,98
74398,en,181
571,en,215
4085,en,97
215718,es,101
6447,en,87
126,en,73
79242,en,119
354525,en,77
391017,en,61
125542,en,173
8000730,en,132
331727,it,77
211126,en,65
10445070,en,43
6998083,es,51
17297,it,160
5438687,en,70
6749,en,167
5310,en,134
291971,es,103
2071,en,133
4527779,es,191
1332030,en,49
54467,fr,47
7621,en,84
12727341,fr,42
2440,en,173
5463220,en,35
66235,en,70
2437,en,51
187141,en,88
123643,en,38
4811152,pt,49
5313805,en,31
74588,en,167
16847,en,143
682,ja,140
131445,en,40
10100048,en,44
7843,en,85
183716,en,220
49463302,en,37
655913,en,67
8225,en,52
5130,es,40
9256,en,82
15162,en,82
3636,en,473
868,en,716
12033224,en,75
82856,en,70
10742,es,44
1029,fr,102
102704,es,52
900,en,453
1782,fr,335
3128,en,152
4162,es,231
1073,en,309
595,en,167
5866223,en,362
97042852,de,39
1607320,en,36
13372,en,202
401872,en,72
4611283,pt,312
64992,en,116
75610,nl,77
3838,fr,69
9743,pt,158
77176,es,132
1617,en,240
7463,en,172
12875,tr,115
211325,en,148
149388,en,65
9956746,en,96
419109,en,48
1302,en,288
2519,en,134
1118254,ja,134
1568449,de,120
469671,en,161
64407,en,35
907,en,138
54184972,fr,78
156041,en,75
2664,fr,84
11518551,ru,92
241053,it,36
411559,en,38
320129,es,47
66483,en,54
402006,en,33
5215136,es,54
6740721,en,31
134180,en,41
11028,en,120
7204698,en,44
62784,en,32
326399,en,79
10786,es,66
7510,en,113
9530,ja,51
2329,en,177
54630,en,59
390050,en,72
1271831,en,51
160413,en,61
159126,en,123
12458,pt,53
75,en,58
133534,en,557
66563,en,47
5365,en,259
1674136,de,42
10696,en,222
1293,pt,35
190575,en,182
1233,en,129
2691,fr,131
14440,en,145
380832,en,38
15727,de,92
75284,es,233
454426,pt,77
9869368,en,58
5737,en,54
6081,es,83
1288678,it,89
1700836,en,70
3307,de,109
13976,en,39
61663,en,61
15247,en,39
268,en,132
13554009,fr,75
16410,en,100
5288900,fr,106
4458767,es,50
7743,en,92
5845399,fr,71
4388,en,133
13382351,ru,71
16419,en,92
649309,es,43
379465,pt,157
6982223,ja,39
14814,en,82
9530154,en,34
13980,en,32
3996,en,80
85840,en,39
12626485,de,43
88070502,en,63
57651,en,54
109886,en,36
256270,pt,161
244484,ar,52
10816636,es,123
317,en,256
427213,en,58
13019,en,39
102210,en,61
15140,en,68
3130391,en,41
1495636,de,34
70227002,en,31
14639121,pt,40
4521369,en,67
297,en,87
161928,en,34
144331,en,110
6549973,en,114
7459268,fr,106
5700,en,206
11559031,es,57
7537,fr,173
61696,en,295
14175163,en,68
594,en,34
13877,tr,68
167258,de,53
11505,en,104
13499081,en,88
157317,en,97
3239781,it,118
16149,es,134
66236,en,55
389730,en,69
3565,en,152
3117,en,111
50263192,en,31
1184214,en,43
16031,en,77
4438241,en,39
7360,en,78
299665,en,91
4886703,en,37
3099,en,42
7703592,nl,52
561176,en,43
7101,en,130
367611,es,46
9759672,es,71
14803,en,38
7644,en,53
4888,en,104
95506,pt,75
699,fr,54
13044915,en,31
776809,en,33
1557,fr,84
1008582,pt,110
2579,en,102
4396395,vi,75
2768,en,65
352853,en,36
438209,th,51
129280,en,40
12080,en,100
6185,en,103
4420429,en,33
12934037,pt,65
5629,en,146
74577,en,60
1676,en,163
7307852,fr,40
9218,es,90
327953,de,167
1235,en,111
1701387,en,70
1412045,en,83
6781073,en,38
241998,pt,96
4875590,en,50
280379,es,34
11204,en,47
498918,en,64
81479,en,36
80760,it,64
13855,tr,199
242156,en,66
1492698,ja,50
170008,en,78
13682,pt,32
81171,en,72
232,en,58
14630,en,116
382905,en,133
90455,en,89
1418380,es,51
55387692,fr,36
8719870,fr,42
69680,tr,100
3417,en,97
8254648,ru,38
9373892,it,66
71248,de,37
82415,en,75
3936,en,192
389634,en,54
159511,en,48
12542014,en,79
6691,en,193
1038,en,34
12106,en,76
8625,en,61
12766259,en,33
3261221,de,36
71805,es,60
8005464,en,50
76257,en,120
323505,no,46
390674,en,34
13502,fr,44
133105,en,32
603670,en,92
6896721,fr,32
4592596,en,54
140994,en,40
58027,it,35
4698748,es,57
78506,en,96
9074712,en,32
11507881,ja,56
4806921,en,33
3331,en,40
6456,en,199
5322400,en,59
5878976,nl,62
66957,en,54
5888103,en,47
152218,en,92
11815065,es,50
11033,en,40
446167,pt,81
1958,fi,66
8674,en,77
8589576,en,45
130606,en,53
8643164,en,43
56094992,en,37
71786,en,38
809,es,122
12592105,fr,116
13683,pt,68
75319,en,65
243504,es,105
151644,en,36
2521,fr,58
442230,en,60
4771479,fr,31
3976641,en,68
138,en,146
252166,en,94
6599948,de,36
16989,fr,57
4926583,tr,37
280289,en,45
8988008,en,50
5319,en,46
468976,en,50
12944237,es,48
3700221,en,67
439641,en,48
61700,en,62
497404,en,32
261566,en,64
111167,it,32
8402,en,35
4974921,en,61
4400189,es,59
377176,en,95
282952,en,63
167189,en,40
2926,en,41
15760,en,42
12289196,en,58
2656,en,121
71920,en,45
158372,fr,54
8924446,fr,41
266682,en,51
15359,fr,36
1760,en,205
261057,en,55
146084,en,66
4511,en,123
94686,es,67
2106,en,68
73274,en,43
401681,ja,34
454258,en,79
99702,es,93
794408,en,39
294285,en,41
77694,en,74
15424,en,52
6978,en,40
71468,tr,41
5244855,tr,46
5294225,en,31
14343187,es,48
560902,en,71
13900,es,39
647800,en,56
99654,en,38
8769,en,65
1287180,fr,33
14107147,en,70
3926,en,32
1264830,en,46
4712999,en,45
164704,fr,75
12316,en,48
11908,en,44
15194251,en,32
72766,en,38
9261216,fr,51
435,en,77
13130,de,54
1244,en,57
319985,es,46
11359554,es,33
7584298,en,35
58849,en,31
12129726,en,37
100266,en,49
406144,tr,59
131713,de,37
2068091,en,42
807296,en,75
374717,en,36
186490,en,35
86739352,en,37
94137,en,51
164,en,42
10574,en,36
450136,en,37
12788,nl,82
65209,en,41
5416030,ar,32
524675,en,34
5114410,en,36
7527,en,31
3335,en,56
9533636,it,40
288793,sv,37
543155,es,41
992352,es,37
1896,en,32
5500771,pt,34
14781877,fr,31
305578,en,35
600322,sv,31
95300,en,33
11507431,en,35
58847692,es,47
14802673,en,41
15678,es,36
123582,en,79
4647,en,116
237582,en,59
6435,tr,228
114790,es,70
8234,de,229
133187,en,108
5451,en,126
99563,tr,860
8094,en,160
6574069,de,97
4706603,ar,32
64193,en,69
103714,en,66
2139,en,611
1615111,en,68
3701031,en,35
5642,en,411
6326,en,161
5282898,pl,93
7459270,fr,99
299515,es,259
61690,en,108
255687,es,159
596,en,445
11134,en,240
12920049,fr,54
12295654,tr,36
4390,en,55
2179,en,1449
67216,en,32
1241819,en,40
891894,en,68
14779,hi,277
7985936,en,44
12043,es,155
4753,en,98
926,en,90
399990,en,113
9281246,fr,90
12107,en,214
7645,en,72
17243,en,84
14801,es,179
390183,en,88
5312529,en,98
1626,fr,566
8706544,en,200
497902,en,37
15805,fi,73
81920,fr,128
4134,en,55
303157,en,49
3037,en,432
10585,en,110
10893,en,67
764,en,144
81,en,223
9117,en,251
431022,en,43
12517,en,129
4983,en,82
10859478,de,50
3223,en,137
4417375,en,57
59620692,fr,72
2367,en,42
16455,pt,124
1950,en,93
1803,fr,268
281672,es,70
544,en,247
131286,en,76
468809,en,70
241474,sv,54
137,en,70
5460,en,47
16990,en,143
8745730,en,71
2528,en,269
210647,en,46
73985,en,102
74094202,en,87
1095256,de,101
7424,en,106
161777,ja,33
5634,en,233
1690336,en,70
6234,en,254
343414,sv,43
66382,en,196
406900,en,240
4885,de,215
443,fr,205
79663,de,456
455833,nl,154
13822,en,74
13545,pt,197
88339,es,618
304665,tr,110
56025542,ru,105
6561881,de,42
7187,en,177
11619,en,131
2636,fr,211
637,en,573
2730991,en,35
393005,en,60
9268,en,41
4979486,en,43
6122,es,111
10681,en,69
1386,en,110
5290015,en,51
61657,en,147
7662,en,252
5679,en,406
2254,en,84
1260,en,215
69518,en,48
4333,pt,158
16978,es,80
70747,en,236
65349,pt,194
153739,en,100
1020198,es,85
1176492,es,34
4185,en,305
58737,es,164
11567,en,168
2016,en,359
9290,tr,40
6401,en,197
821,en,151
241405,es,57
2622,en,108
77290,it,52
211087,ja,160
1311,fr,60
1525,es,156
577666,en,82
941,en,328
71154,en,81
259131,en,154
211306,en,102
4676,fr,408
788989,en,36
110459,pt,94
11349,en,141
187156157,ja,71
72008,ru,34
140304,en,80
12741929,en,73
5896,en,48
12919409,en,81
1776,en,115
1706,en,95
5618358,es,31
416239,en,219
2640,en,176
64425,en,63
1217881,ar,45
393104,en,121
12490972,fr,54
5424025,en,32
12959,en,287
15705,es,82
199229,en,35
1272139,tr,74
247291,fi,83
152206,en,61
12490752,fr,111
183227,en,184
70088,en,170
7781554,en,43
242101,en,46
2226,en,131
117480,ar,264
7796,en,133
16332,en,76
7154,en,91
12483748,en,214
1471,en,90
4150,en,76
1013,en,225
56160,no,37
249253,en,52
328859,tr,47
1266380,fr,50
51931882,fr,75
8774338,en,50
194172,en,72
12919475,en,168
373974,pt,169
289604,pt,31
16450,ar,71
13418,en,46
9706814,en,35
3781,en,76
5554,en,34
1851521,en,35
4607,en,114
124530852,en,35
242715,en,101
272654,es,65
74310,en,77
65197,de,301
455109,en,68
1492821,fi,47
4613529,ja,72
68900,en,48
1717781,en,74
362326,en,93
14491939,pt,79
92,en,365
15274,es,115
364905,es,131
10541089,en,225
68207,en,32
75178,en,43
135957,en,44
10138540,en,53
384298,ja,109
2020,en,85
3618,en,45
598070,it,146
179,en,183
81487,en,54
7805050,en,32
95538,en,77
13925,en,146
320149,es,40
4341930,en,81
389545,en,73
794,en,102
9694268,en,52
7706408,en,37
112328,en,101
1150,en,34
78441,pl,93
315899,en,40
6729,es,127
318,en,72
4803,en,49
1593270,en,43
8803,en,65
7119,en,108
14317,en,92
490,en,104
3490,en,120
62172182,de,38
282476,en,38
182743,en,48
188172,en,48
291750,en,74
4581,en,35
1420589,en,35
4077848,fr,37
337412,en,51
9303,en,33
300024,en,35
199186,es,31
152734,en,58
3551,de,45
6222398,nl,80
259767,en,52
67431122,es,59
1674,en,37
13513907,en,33
2316,en,43
1606760,en,52
66384,en,35
5366868,en,54
52884092,en,40
182802,de,51
9068,en,116
389038,tr,52
240854,en,131
82043,en,40
14524783,en,35
1309785,it,42
215437,en,67
166092,en,72
4985,en,138
82224,en,42
4578590,en,72
12889,en,142
495,en,189
8139,en,60
90629,en,75
8582,en,35
389821,en,64
3376761,es,107
86542,en,118
1021634,en,55
690,en,43
16421,it,66
64180,en,49
12369444,en,54
399689,en,66
5175,en,86
9060182,sv,74
319939,en,109
3859,en,67
367143,en,61
6346,en,59
12161,en,130
76113,es,41
78309,nl,154
8365,en,159
68457,en,42
168301,en,33
108068032,pt,38
112371,ja,47
86424,en,35
7541676,en,37
308793,en,46
64173,en,74
388405,en,59
69764,it,66
96756,fr,73
12140800,en,43
185832,en,122
182569,en,48
1517008,en,57
14262,fr,73
4341,en,134
899072,es,33
13313,es,98
1622509,es,51
13636759,fr,33
1111393,en,35
7149,en,44
6059488,en,65
2117,ja,36
5726,en,49
2340491,tr,51
412329,de,45
54951,en,89
1481,en,74
15534,fr,50
295452,en,66
4344078,en,45
65396,en,38
115959,pt,74
71286,de,54
2936,it,101
515,en,191
939,fr,90
1042268,fr,39
1176860,en,52
10682,en,42
295563,en,47
17269,en,57
7349002,es,45
11806061,es,31
11142,en,60
10106,en,34
74379,en,63
263653,en,42
8857044,en,75
52786862,pl,45
75001,fr,104
114430,es,42
119194,en,38
161800,en,31
3171351,en,34
4338184,en,68
80781,en,33
985,fr,31
187151,en,43
86828,pt,31
8927232,de,57
