contact_id,product_id,dz_artist_id,dz_name,mbz_artist_id
520084,25871901,564,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
5263805,7623627,4429712,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011
57633,1023655,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
1180989,31119479,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
522177,7436006,75491,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848
5583003,78939076,604107,SDM,ee5acbd5-d291-4fe1-a06a-88060b131b77
3690398,3739872,4842061,Naps,ce155ad5-afc8-4398-bf38-c99f02cd0814
4289606,29045707,9197980,Damso,71ff695e-896a-4043-aea4-93eadde08d09
789245,3155857,259467,Orelsan,6cad3ce5-6380-4594-a8da-ae7d273b683d
4816066,1634056,7365500,Josman,d6f204c1-ea79-4ad0-bac3-862faad14130
2265158,19417393,1191615,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a
522177,7289722,75491,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848
4816066,10288066,7365500,Josman,d6f204c1-ea79-4ad0-bac3-862faad14130
4843823,17282453,8909272,Aya Nakamura,cf580d82-3f3e-4b86-8874-7e0fbe794f01
4814922,41726956,14621667,Koba LaD,52315221-8b06-4fb1-bfd3-16057aa4f9e1
57633,1699159,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
1345896,23079413,13962203,Zola,3134d99c-a372-424a-9f65-d2dacfdccaba
520084,22617828,564,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
567274,28666258,3469,Sia,2f548675-008d-4332-876c-108b0c7ab9c5
6403312,30621794,10189104,Soolking,530a9937-4229-4d7e-8457-4853d7d5dd7a
5125715,29004980,12526056,Tayc,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb
60087,21877541,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
627188,23053115,13011,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936
5125715,7771623,12526056,Tayc,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb
856411,40542014,4050205,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9
57633,41702362,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
555560,11110094,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
555560,56718129,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
2265158,616902,1191615,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a
627192,4326053,259729,Alonzo,9ff87295-bdfc-46fc-b605-456cc39d84ca
522177,7629069,75491,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848
2265158,4867382,1191615,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a
1180989,21468871,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
627188,26331317,13011,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936
60087,18752055,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
627192,19306034,259729,Alonzo,9ff87295-bdfc-46fc-b605-456cc39d84ca
572836,34406376,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
4847604,2910066,5542343,Ninho,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1
572836,30363314,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
555560,73877812,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
555560,2886151,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
520084,40629748,564,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
4814922,629756,14621667,Koba LaD,52315221-8b06-4fb1-bfd3-16057aa4f9e1
860349,3966497,384236,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6
572836,33672974,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
2265158,43024875,1191615,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a
1136202,509795,292949,Dinos,ee782f62-1bdb-4a0b-8fc4-3bf2a8c1f979
1136202,1611716,292949,Dinos,ee782f62-1bdb-4a0b-8fc4-3bf2a8c1f979
555560,57106821,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
522394,549428,390,Booba,785c0e9c-89f6-4bf4-8296-443a46632d62
900257,20977390,1412564,Nekfeu,d721866d-5640-44ee-87f7-23dd062abd8a
57633,10053650,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
1188385,12761933,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
522394,55358011,390,Booba,785c0e9c-89f6-4bf4-8296-443a46632d62
2265158,36602991,1191615,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a
5468234,33689922,455796,Leto,635e50a0-3c8f-4675-a0e6-9e3555cc4e0a
60087,13413116,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
4843823,53118281,8909272,Aya Nakamura,cf580d82-3f3e-4b86-8874-7e0fbe794f01
3690398,2292032,4842061,Naps,ce155ad5-afc8-4398-bf38-c99f02cd0814
859596,28471923,4087782,Lacrim,10df38da-1292-4881-bd96-c6dfead3934b
900257,10454194,1412564,Nekfeu,d721866d-5640-44ee-87f7-23dd062abd8a
57633,13709476,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
856411,56984462,4050205,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9
627188,2651308,13011,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936
4290170,23763943,4889156,Clara Luciani,a6386935-e6ee-4aaa-aaa8-70f56b79bc29
4289648,15865777,4510044,Laylow,b04c952c-16c4-41ad-bd62-ace5047cdf6e
57633,3536376,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
3864820,56510498,9930130,Djadja & Dinaz,a4ab6bb1-2b7e-4d5f-bad6-dcd6b6daa5d6
6403312,31655776,10189104,Soolking,530a9937-4229-4d7e-8457-4853d7d5dd7a
520084,7391228,564,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
2265158,1132400,1191615,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a
520084,8295975,564,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
4289648,8227784,4510044,Laylow,b04c952c-16c4-41ad-bd62-ace5047cdf6e
4884911,4904430,4803754,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe
5250517,13093918,8706544,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f
57633,2129757,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
3690398,16251097,4842061,Naps,ce155ad5-afc8-4398-bf38-c99f02cd0814
627188,41752560,13011,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936
5096340,4038346,1479842,PLK,55304866-1b79-4365-a6b1-961c95e9fc57
4847604,30862458,5542343,Ninho,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1
4847604,10698394,5542343,Ninho,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1
5250517,39364330,8706544,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f
60087,2661352,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
2265158,43675217,1191615,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a
1136202,33964387,292949,Dinos,ee782f62-1bdb-4a0b-8fc4-3bf2a8c1f979
828329,10473370,310260,Stromae,ab2528d9-719f-4261-8098-21849222a0f2
4289606,12770767,9197980,Damso,71ff695e-896a-4043-aea4-93eadde08d09
1180989,25481882,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
841407,2280061,171998,Hamza,6a2244c9-3122-454e-b83d-b23e2968884e
567274,1790144,3469,Sia,2f548675-008d-4332-876c-108b0c7ab9c5
1136202,943802,292949,Dinos,ee782f62-1bdb-4a0b-8fc4-3bf2a8c1f979
520084,789158,564,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
57633,53464808,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
4847604,42212083,5542343,Ninho,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1
6403312,42537124,10189104,Soolking,530a9937-4229-4d7e-8457-4853d7d5dd7a
555560,24726446,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
555560,2258554,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
60087,39906740,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
627188,891473,13011,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936
627188,1207142,13011,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936
567274,1769068,3469,Sia,2f548675-008d-4332-876c-108b0c7ab9c5
57633,55489237,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
4814922,35074805,14621667,Koba LaD,52315221-8b06-4fb1-bfd3-16057aa4f9e1
